Source,Target,Sort,Time
600108,600015,3,2008/12/31
600108,600388,3,2008/12/31
600108,601001,3,2008/12/31
600388,600015,3,2008/12/31
600388,600108,3,2008/12/31
600388,601001,3,2008/12/31
601001,600015,3,2008/12/31
601001,600108,3,2008/12/31
601001,600388,3,2008/12/31
12,16,3,2008/12/31
12,418,3,2008/12/31
12,625,3,2008/12/31
12,869,3,2008/12/31
12,600054,3,2008/12/31
12,600801,3,2008/12/31
16,12,3,2008/12/31
16,418,3,2008/12/31
16,625,3,2008/12/31
16,869,3,2008/12/31
16,600054,3,2008/12/31
16,600801,3,2008/12/31
418,12,3,2008/12/31
418,16,3,2008/12/31
418,625,3,2008/12/31
418,869,3,2008/12/31
418,600054,3,2008/12/31
418,600801,3,2008/12/31
625,12,3,2008/12/31
625,16,3,2008/12/31
625,418,3,2008/12/31
625,869,3,2008/12/31
625,600054,3,2008/12/31
625,600801,3,2008/12/31
869,12,3,2008/12/31
869,16,3,2008/12/31
869,418,3,2008/12/31
869,625,3,2008/12/31
869,600054,3,2008/12/31
869,600801,3,2008/12/31
600054,12,3,2008/12/31
600054,16,3,2008/12/31
600054,418,3,2008/12/31
600054,625,3,2008/12/31
600054,869,3,2008/12/31
600054,600801,3,2008/12/31
600801,12,3,2008/12/31
600801,16,3,2008/12/31
600801,418,3,2008/12/31
600801,625,3,2008/12/31
600801,869,3,2008/12/31
600801,600054,3,2008/12/31
726,200053,3,2008/12/31
200053,726,3,2008/12/31
16,900935,3,2008/12/31
16,900948,3,2008/12/31
900935,16,3,2008/12/31
900935,900948,3,2008/12/31
900948,16,3,2008/12/31
900948,900935,3,2008/12/31
12,600054,3,2008/12/31
600054,12,3,2008/12/31
625,900950,3,2008/12/31
900950,625,3,2008/12/31
26,200152,3,2008/12/31
26,600094,3,2008/12/31
26,600295,3,2008/12/31
26,600639,3,2008/12/31
26,600679,3,2008/12/31
26,600851,3,2008/12/31
200152,26,3,2008/12/31
200152,600094,3,2008/12/31
200152,600295,3,2008/12/31
200152,600639,3,2008/12/31
200152,600679,3,2008/12/31
200152,600851,3,2008/12/31
600094,26,3,2008/12/31
600094,200152,3,2008/12/31
600094,600295,3,2008/12/31
600094,600639,3,2008/12/31
600094,600679,3,2008/12/31
600094,600851,3,2008/12/31
600295,26,3,2008/12/31
600295,200152,3,2008/12/31
600295,600094,3,2008/12/31
600295,600639,3,2008/12/31
600295,600679,3,2008/12/31
600295,600851,3,2008/12/31
600639,26,3,2008/12/31
600639,200152,3,2008/12/31
600639,600094,3,2008/12/31
600639,600295,3,2008/12/31
600639,600679,3,2008/12/31
600639,600851,3,2008/12/31
600679,26,3,2008/12/31
600679,200152,3,2008/12/31
600679,600094,3,2008/12/31
600679,600295,3,2008/12/31
600679,600639,3,2008/12/31
600679,600851,3,2008/12/31
600851,26,3,2008/12/31
600851,200152,3,2008/12/31
600851,600094,3,2008/12/31
600851,600295,3,2008/12/31
600851,600639,3,2008/12/31
600851,600679,3,2008/12/31
600026,600685,3,2008/12/31
600026,600860,3,2008/12/31
600026,601005,3,2008/12/31
600026,601088,3,2008/12/31
600026,601333,3,2008/12/31
600026,601766,3,2008/12/31
600026,601866,3,2008/12/31
600026,601991,3,2008/12/31
600685,600026,3,2008/12/31
600685,600860,3,2008/12/31
600685,601005,3,2008/12/31
600685,601088,3,2008/12/31
600685,601333,3,2008/12/31
600685,601766,3,2008/12/31
600685,601866,3,2008/12/31
600685,601991,3,2008/12/31
600860,600026,3,2008/12/31
600860,600685,3,2008/12/31
600860,601005,3,2008/12/31
600860,601088,3,2008/12/31
600860,601333,3,2008/12/31
600860,601766,3,2008/12/31
600860,601866,3,2008/12/31
600860,601991,3,2008/12/31
601005,600026,3,2008/12/31
601005,600685,3,2008/12/31
601005,600860,3,2008/12/31
601005,601088,3,2008/12/31
601005,601333,3,2008/12/31
601005,601766,3,2008/12/31
601005,601866,3,2008/12/31
601005,601991,3,2008/12/31
601088,600026,3,2008/12/31
601088,600685,3,2008/12/31
601088,600860,3,2008/12/31
601088,601005,3,2008/12/31
601088,601333,3,2008/12/31
601088,601766,3,2008/12/31
601088,601866,3,2008/12/31
601088,601991,3,2008/12/31
601333,600026,3,2008/12/31
601333,600685,3,2008/12/31
601333,600860,3,2008/12/31
601333,601005,3,2008/12/31
601333,601088,3,2008/12/31
601333,601766,3,2008/12/31
601333,601866,3,2008/12/31
601333,601991,3,2008/12/31
601766,600026,3,2008/12/31
601766,600685,3,2008/12/31
601766,600860,3,2008/12/31
601766,601005,3,2008/12/31
601766,601088,3,2008/12/31
601766,601333,3,2008/12/31
601766,601866,3,2008/12/31
601766,601991,3,2008/12/31
601866,600026,3,2008/12/31
601866,600685,3,2008/12/31
601866,600860,3,2008/12/31
601866,601005,3,2008/12/31
601866,601088,3,2008/12/31
601866,601333,3,2008/12/31
601866,601766,3,2008/12/31
601866,601991,3,2008/12/31
601991,600026,3,2008/12/31
601991,600685,3,2008/12/31
601991,600860,3,2008/12/31
