Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
2502,,1,6,2.424130274,49.82653734,0.6102941,0.005846607,17,17,34,3
600236,,1,6,2.224278312,1070.754011,0.8350552,0.114470431,151,151,302,3
2420,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
892,,1,6,2.64211695,530.4259272,0.1904762,9.98E-04,7,7,14,3
601818,,2,5,1.617320503,2196.364566,0.8144115,0.993884607,1175,1175,2350,3
300316,,1,6,2.589563286,42.96692653,0.61538464,0.002851587,14,14,28,3
2297,,2,5,1.704293116,8280.359153,0.89405006,0.85626581,982,982,1964,3
2544,,2,5,1.69800148,13284.43328,0.8696309,0.855346143,995,995,1990,3
300482,,1,6,2.341228719,1291.66775,0.530936,0.021408142,62,62,124,3
545,,1,6,2.527387121,10.72651482,0.32142857,0.003081168,8,8,16,3
589,,2,6,1.852331606,1611.862598,0.96672904,0.575300554,687,687,1374,3
600523,,1,6,2.292376018,613.7044387,0.69357365,0.038315582,88,88,176,3
738,,2,5,1.605477424,8033.504609,0.77228117,0.995846983,1209,1209,2418,3
600765,,2,5,1.603626943,7546.357174,0.7685163,0.995913858,1212,1212,2424,3
2107,,1,6,2.552553664,0.970594741,0.8909091,0.005630283,11,11,22,3
601116,,2,6,1.860473723,501.6202902,0.9970589,0.574862214,676,676,1352,3
300015,,2,5,1.694670614,19670.751,0.8648891,0.859532256,1001,1001,2002,3
2295,,1,6,2.67838638,1.234539934,0.33333334,9.05E-04,3,3,6,3
300068,,1,6,2.333456699,1275.2057,0.38570392,0.016868262,53,53,106,3
300228,,1,6,2.441524796,164.0098829,0.47142857,0.007532855,21,21,42,3
2135,,1,6,2.43819393,24.58161971,0.9130435,0.008011497,23,23,46,3
600152,,1,6,2.286824574,340.1618043,0.8415003,0.015404443,58,58,116,3
600275,,1,6,2.612139156,0.583527284,0,0.001016059,2,2,4,3
600393,,2,5,1.618430792,18927.06835,0.81251264,0.993549443,1176,1176,2352,3
2063,,2,5,1.714655811,3788.209377,0.9450713,0.860423124,958,958,1916,3
600406,,2,5,1.602886751,5580.125574,0.76353467,0.997998989,1218,1218,2436,3
2132,,1,6,2.68726869,1.910586709,0.5,0.001020921,4,4,8,3
600621,,2,6,1.850111029,1400.79703,0.9439867,0.577762012,699,699,1398,3
4,,1,6,2.370836417,5430.460328,0.3082483,0.011616151,49,49,98,3
2002,,1,6,2.489267209,1035.318751,0.35573122,0.006057209,23,23,46,3
600206,,1,6,2.511472983,32.6946809,0.8333333,0.001810852,12,12,24,3
600807,,1,6,2.46965211,320.4302697,0.40526316,0.00297942,20,20,40,3
582,,2,6,1.854552184,2883.013549,0.97508645,0.576739999,685,685,1370,3
768,,2,5,1.60584752,8227.175405,0.7733242,0.99568092,1208,1208,2416,3
2673,,2,5,1.726868986,1866.894214,0.9861058,0.852286556,931,931,1862,3
600330,,1,6,2.541820873,542.5019227,0.71794873,0.006998627,13,13,26,3
559,,2,5,1.608438194,20631.96119,0.78387815,0.994380423,1198,1198,2396,3
600592,,1,6,2.583271651,11.4733425,0.33333334,0.002028796,4,4,8,3
2714,,1,6,2.302368616,2067.058142,0.25300547,0.011755119,61,61,122,3
600061,,1,6,2.519985196,56.15660431,0.3974359,0.005191118,13,13,26,3
600962,,1,6,2.400814212,510.6079625,0.3910985,0.009116342,33,33,66,3
300256,,1,6,2.704663212,14.80389869,0,8.67E-04,2,2,4,3
300091,,1,6,2.503330866,0.706024052,0.9590643,0.007499185,19,19,38,3
300171,,1,6,2.42450037,326.2782612,0.4074074,0.009587662,28,28,56,3
2715,,1,6,2.345669874,604.3054356,0.42071882,0.014977583,44,44,88,3
600131,,2,6,1.851591414,3776.294412,0.95408255,0.577156367,693,693,1386,3
2709,,2,5,1.725758697,11864.66889,0.97888464,0.850598499,933,933,1866,3
603788,,1,6,2.52257587,58.13993231,0.6544118,0.005729466,17,17,34,3
600511,,2,5,1.601036269,11813.80685,0.76504195,0.995591332,1214,1214,2428,3
603011,,2,6,2.523316062,50.23182,0.4090909,0.006159665,11,11,22,3
600418,,2,5,1.830125833,3083.614958,0.90577894,0.603744804,734,734,1468,3
600595,,2,6,2.569948187,1811.915835,0.5,0.005277959,12,12,24,3
2019,,1,6,2.333456699,863.0514034,0.32489794,0.013265085,50,50,100,3
2058,,2,5,1.727239082,6890.607219,0.98403615,0.851109672,931,931,1862,3
600891,,2,6,1.860103627,696.7421509,0.9960013,0.575710948,677,677,1354,3
415,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
601969,,2,5,1.612509252,8100.85769,0.7920182,0.994267724,1192,1192,2384,3
600221,,2,5,1.615840118,2240.523884,0.80430037,0.99443564,1183,1183,2366,3
600106,,1,6,2.417098446,147.8373053,0.5925926,0.014335545,27,27,54,3
2738,,2,5,1.717986677,7626.763787,0.9450163,0.851937775,951,951,1902,3
603969,,2,6,2.715766099,0,1,0.001703787,2,2,4,3
600502,,1,6,2.237971873,1850.711923,0.36421052,0.029608137,76,76,152,3
601929,,2,5,1.62250185,1191.23728,0.8235421,0.993395096,1168,1168,2336,3
518,,1,6,2.689859363,71.98870644,0.5,9.20E-04,4,4,8,3
2524,,1,7,3.193560326,11.95370663,0.5,8.30E-05,4,4,8,3
2094,,1,6,2.36565507,1497.658482,0.24031007,0.008691156,43,43,86,3
2221,,1,6,2.470392302,6.498954079,0.8833333,0.002183911,16,16,32,3
2235,,1,6,2.433012583,269.2821448,0.5736842,0.002305071,20,20,40,3
2529,,1,6,2.329015544,1167.965103,0.35245144,0.012215196,47,47,94,3
2568,,1,6,2.470762398,0,1,0.001334577,15,15,30,3
2582,,1,6,2.45780903,43.48306998,0.7254902,0.002631087,18,18,36,3
300156,,1,6,2.238341969,2538.631072,0.42821473,0.025330547,90,90,180,3
300339,,1,6,2.373427091,1147.503732,0.42307693,0.005253802,40,40,80,3
600138,,2,5,1.598445596,27470.58675,0.7531298,0.997675453,1226,1226,2452,3
600277,,1,6,2.422279793,5564.672098,0.56842107,0.001488521,20,20,40,3
600581,,2,6,1.853441895,1895.073399,0.9690898,0.575206668,686,686,1372,3
600732,,1,7,3.310880829,0,1,3.73E-05,2,2,4,3
603128,,1,6,2.360473723,4940.085108,0.38559815,0.009445483,42,42,84,3
300114,,1,6,2.492227979,1.835561052,0.9380952,0.009501704,21,21,42,3
600372,,2,5,1.599555885,7454.547123,0.7560211,0.996795527,1223,1223,2446,3
