Stkcd,Accper,Typrep,net_profit,A003100000,net_property,group,Msmvttl,Mretwd,Mnvaltrd
23,03/31/2015,A,-3370694.73,360519453.98,421405733.77,1,3699703.8767,0.06,3203895103
23,06/30/2015,A,10791890.75,367570043.6,430018069.65,2,3525796.06,0.0933333333,3652912451
23,09/30/2015,A,28162486.3,384025059.31,447388665.2,3,,,
24,03/31/2015,A,740024765,31755625844,45010126578,1,76698604.37,0.13,25611435138
24,06/30/2015,A,2388147128,32777691122,47398829986,2,,,
24,09/30/2015,A,2507568386,32871275531,48169375472,3,77257988.067,0.0566666667,20922212396
25,03/31/2015,A,430573.15,826188280.97,836280933.24,1,5831177.91,0.2,2152171609.7
25,06/30/2015,A,7308716.54,833050618.82,843159076.63,2,7200032.93,0.0766666667,4902293699.7
25,09/30/2015,A,18328136.26,844095393.66,854178496.35,3,21317478.983,0.5866666667,16100762721
26,03/31/2015,A,45115820.63,1681935270.5,1685171789.2,1,5696604.8367,0.2366666667,2574917235.7
26,06/30/2015,A,73280568.14,1674397739.6,1677646859.1,2,4237452.6433,-0.223333333,4534581108.7
26,09/30/2015,A,107060597.4,1704828725.2,1708489973.1,3,3828848.5433,0.09,2972714518.3
27,03/31/2015,A,421239586.3,18129454399,20932333351,1,41503822.03,0.2166666667,13790331194
27,06/30/2015,A,1204698725,22113635843,24838227191,2,44402305.887,-0.063333333,22621046864
27,09/30/2015,A,1850906358,20838021753,23655069681,3,39737420.773,0.01,11303608039
28,03/31/2015,A,202121492.3,4961634059.9,5054806929,1,22727067.43,0.2,5469447895
28,06/30/2015,A,399642261,5079400685.8,5178769309,2,21289892.01,-0.09,6486406642.7
28,09/30/2015,A,591910127.4,5266153764.3,5371037175.5,3,18860234.63,0.02,1884288693.5
29,03/31/2015,A,24961846.26,2186126123.8,2057616380,1,11945271.8,0.4133333333,5959494878.7
29,06/30/2015,A,186404025.5,2348046023,2219489105,2,10337311.6,-0.096666667,6746563381.7
29,09/30/2015,A,234017227.9,2261764419.1,2132392916,3,11671829.4,0.0633333333,9157293787.7
30,03/31/2015,A,171499324.6,4469997119.3,4930204647.8,1,15365157.693,0.1466666667,6035433793.7
30,06/30/2015,A,306691076.7,4471140370.7,4927687195.1,2,13476514.98,-0.116666667,8748935741.7
30,09/30/2015,A,382075098.4,4546388907.7,5004292938.3,3,10912157.88,0.0133333333,2388986496.7
31,03/31/2015,A,56691489.99,5975910840.4,10832889875,1,20289610.79,0.0833333333,21106326597
31,06/30/2015,A,175459202.1,5719155133.2,10695098619,2,33052235.453,0.2233333333,60657931108
31,09/30/2015,A,628732723.3,5902498571.8,11124672190,3,24618383.53,-0.05,33227074687
32,03/31/2015,A,26602622.37,891980410.52,1028576773.2,1,4733355.4133,0.22,2673789865.3
32,06/30/2015,A,-7368870.93,876367523.58,1012001653.3,2,4042524.5967,-0.133333333,3900121009.7
32,09/30/2015,A,53547175.66,876245884.85,1010305840,3,4910332.2967,0.1966666667,3733133386
33,03/31/2015,A,-5821666.14,-183479452.6,-183479452.6,1,3419193.28,1.08,108452864.8
33,06/30/2015,A,-10526537.71,-188184324.2,-188184324.2,2,,,
33,09/30/2015,A,-15271544.38,-192929430.9,-192929430.9,3,,,
34,03/31/2015,A,22988002.68,188624617.55,188624617.55,1,3293356.49,0.12,1604542951
34,06/30/2015,A,22772570.59,188409185.46,188409185.46,2,3984245.4,0.21,230416019.4
34,09/30/2015,A,26515413.68,192152028.55,192152028.55,3,5450743.63,0.19,8771795239
35,03/31/2015,A,35660835.59,1657843022.3,1657843022.3,1,11336931.867,0.14,5027743955
35,06/30/2015,A,66683206.51,1688865393.2,1688865393.2,2,10787837.933,-0.09,5799879299.3
35,09/30/2015,A,120932241.8,1743114428.5,1743114428.5,3,8946515.4233,0.0633333333,3036764240.7
36,03/31/2015,A,-9269035.89,1868174272.1,2484217087.3,1,7870960.2733,0.2966666667,7247948381
36,06/30/2015,A,-16875499.29,1905577679.1,2520966571.4,2,8178926.4033,-0.083333333,9454551981.7
36,09/30/2015,A,-1181455.38,1907412951.5,2524408937.4,3,7987215.6067,0.0366666667,4546558650.7
37,03/31/2015,A,-109346398.3,1182173912.9,1268881221.4,1,4012737.6167,0.2033333333,5014163285.3
37,06/30/2015,A,-128809496.1,1168076610.9,1249418123.6,2,3366487.6233,-0.166666667,5287611646.3
37,09/30/2015,A,-117596784.5,1197849200.7,1260630835.2,3,3461381.9067,0.2333333333,2368822859.3
38,03/31/2015,A,-628467.5,109281120.46,146160904.38,1,2602005.07,0.35,866062209.5
38,06/30/2015,A,-825228.38,108935814.2,145964143.5,2,2511550.75,-0.03,2626308915
38,09/30/2015,A,1526951.63,110941254.79,148316323.51,3,3837572.5633,0.2566666667,4267149512.3
39,03/31/2015,A,533554000,22838384000,27865373000,1,30908783.777,0.0933333333,21093318623
39,06/30/2015,A,1652410000,25096672000,30230870000,2,31343905.09,-0.066666667,31781065137
39,09/30/2015,A,1921421000,25748014000,31087296000,3,22979107.753,-0.006666667,7835733788
40,03/31/2015,A,6485654.87,1276284057.2,1276062599,1,5411280.8633,0.3166666667,4193010779.3
40,06/30/2015,A,20585997.97,1287562859.7,1287326413.1,2,5745474.81,-0.205,6894755441
40,09/30/2015,A,31470840.99,1291347320,1291100934.6,3,7433662.95,0.35,5823421364.3
42,03/31/2015,A,461398797.7,3761125380.2,3762201300.2,1,10338417.647,0.1666666667,5902083693
42,06/30/2015,A,418781307.9,3646668978.4,3647744898.4,2,9525839.73,-0.13,7722839530.3
42,09/30/2015,A,413267236.4,3740887584.8,3741963504.8,3,8215367.2633,0.1,2428379527.7
43,03/31/2015,A,-82515217.94,3437980543.8,4218113611.4,1,8532659.7133,0.19,7242296630
43,06/30/2015,A,-136510169,3326924136.7,4096286649.2,2,8268098.3533,-0.103333333,9115705626.3
43,09/30/2015,A,-194868170.5,3268008937,4032244875.8,3,6513989.83,0.1066666667,4985636245
45,03/31/2015,A,4339711.63,2183521543.5,2183521543.5,1,6678108.26,0.1666666667,3632916650
45,06/30/2015,A,7668027.95,2174548815,2174548815,2,5925430.7633,-0.123333333,5893253526
45,09/30/2015,A,6182632.98,2170300268.7,2170300268.7,3,5293120.7167,0.1066666667,3721150805.3
46,03/31/2015,A,353846786.3,9581403390,12933147191,1,76714748.093,0.0966666667,20882815880
46,06/30/2015,A,888093042.8,9948125658.6,13383119842,2,56814486.707,-0.15,14280674323
46,09/30/2015,A,1433783687,10138307181,13480997907,3,48368268.9,0.0066666667,3716282421
48,03/31/2015,A,7646042.75,523463172.05,618779659.33,1,7208379.4167,0.2133333333,3568496900.7
48,06/30/2015,A,148134414.4,662121967.7,759667495.86,2,9777032.15,0.0766666667,7232915692.3
48,09/30/2015,A,177603887.3,677158232.85,767574547.5,3,9480047.96,-0.1,687613644
49,03/31/2015,A,80552631.31,801295029,999808063.2,1,9935165.2133,0.1966666667,11123386210
49,06/30/2015,A,157221802,816261527.06,1035658114.5,2,9103928.07,-0.143333333,9149484290.7
49,09/30/2015,A,234875092,873621622.88,1117021708.6,3,9575304.5233,0.1333333333,5318953181
50,03/31/2015,A,125277641.8,8275289872.2,8685175474.4,1,30692747.443,0.0733333333,13421307659
50,06/30/2015,A,257859628,8282109079,8696534977,2,22597044.887,-0.163333333,12596830244
50,09/30/2015,A,333459708,8386525766.1,8795277089.9,3,21344587.64,0.1666666667,11816999981
55,03/31/2015,A,13921684.02,1251625675.7,1315646779.5,1,5525784.7433,0.18,4857014161.7
55,06/30/2015,A,44161114.91,1262312157.7,1320759388.3,2,4004720.5833,-0.233333333,4538753036.7
55,09/30/2015,A,60265663.75,1283779156.1,1338092994.6,3,3980866.2567,0.1933333333,3002939112.3
56,03/31/2015,A,9580097.35,1907363063.7,2935092053.9,1,3525869.5333,0.28,3259368000.7
56,06/30/2015,A,8678405.84,1909660753.1,2934190362.4,2,3468483.8933,-0.113333333,5054536777
56,09/30/2015,A,30035052.83,4986926394.5,4986926394.5,3,11275218.77,0.0833333333,2732236521
58,03/31/2015,A,29052523.2,1320384119.4,1524518996,1,7360870.7067,0.2366666667,6743073579
58,06/30/2015,A,52065834.26,1435903975,1636914202.3,2,7685667.7833,-0.083333333,12420153683
58,09/30/2015,A,66465114.68,1443184484.4,1639013082.7,3,5957603.79,0.09,3906762122.7
59,03/31/2015,A,-151298408.1,8436992899.2,8499403277.2,1,17609862.333,0.1,8176589676.3
59,06/30/2015,A,276660415,8790083345,9352150656.4,2,13547278.29,-0.163333333,7101986175.7
59,09/30/2015,A,117013794.2,8623698325.8,9196503166.4,3,11649273.143,0.0233333333,2566366195.7
60,03/31/2015,A,60497970.6,7285674806.5,7786232238,1,38123579.373,0.2566666667,28439501414
60,06/30/2015,A,166704647.1,7367883180.6,7891299298.6,2,31920845.72,-0.183333333,36701386166
60,09/30/2015,A,110113815,7302154923.6,7825915822.4,3,24412661.583,0.0433333333,15084424751
61,03/31/2015,A,2971165.45,4884087616.6,6142277098,1,33334032.08,0.2166666667,16856452540
61,06/30/2015,A,79445257.87,4849068496.5,6153171004.5,2,28452431.93,-0.156666667,16493430591
61,09/30/2015,A,88262315.31,4855047091.6,6172835700.9,3,24832241.783,0.01,9654217596.3
62,03/31/2015,A,50480574.57,2410262998.8,2473761360.4,1,25334088.04,0.475,4421934701.5
62,06/30/2015,A,164142601.3,2540657147.1,2610300756.8,2,29492520.02,-0.09,22057524003
62,09/30/2015,A,219348668.2,2463997104.9,2533917783.9,3,25667054.103,0.08,12099965759
63,03/31/2015,A,861196000,33044398000,34604958000,1,78519804.943,0.1566666667,66749470278
63,06/30/2015,A,1832186000,34325473000,36155673000,2,63540296.55,-0.123333333,52465154617
63,09/30/2015,A,2895394000,34355191000,36031293000,3,57203676.217,0.0166666667,23656544630
65,03/31/2015,A,23483685.78,981716374.13,1204747748.3,1,8276106.28,0.3433333333,7389357977
65,06/30/2015,A,61085468.48,1790574508.6,1992198013.4,2,9110971.6467,-0.133333333,7422161051
65,09/30/2015,A,104960972.7,1834033371.2,2037701871.2,3,7521901.855,0.05,1921125085.5
66,03/31/2015,A,-328574004.3,2501929946.8,8339132309.4,1,24221768.113,0.4266666667,17884107789
