Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
883,,4,5,2.997040326,377.016385,0.29166666,0.015111257,8,8,16,2
900,,6,5,2.410654828,3021.068707,0.44101977,0.11768206,72,73,145,2
300082,,6,5,2.987791343,36.98956084,0.74358976,0.006149534,12,13,25,2
2054,,0,5,2.461709212,3625.54338,0.4366883,0.046680758,55,55,110,2
601058,,5,5,3.129855716,0.17965368,0,0.002156743,1,2,3,2
2073,,5,4,2.284498705,14510.15391,0.28010634,0.167108115,138,138,276,2
2252,,5,5,2.507584166,1001.47971,0.78520226,0.071436038,62,61,123,2
2479,,3,5,2.551979282,7787.204823,0.5187755,0.04758294,48,49,97,2
600351,,6,5,2.51609323,4734.145045,0.34967622,0.036196576,45,47,92,2
2512,,0,5,2.27672956,13007.59558,0.60434526,0.225212126,130,130,260,2
2521,,6,5,2.540880503,2001.87311,0.4541231,0.034565582,41,42,83,2
2673,,8,6,3.172401036,950.8907967,0.21818182,0.002510344,11,10,21,2
501,,0,5,2.482796892,5870.516894,0.4292453,0.049711332,52,52,104,2
2736,,3,5,2.697373289,9294.880343,0.28304332,0.068378963,74,40,114,2
506,,0,5,2.260081391,8992.416156,0.5856871,0.243309137,136,138,274,2
573,,2,5,2.490935997,15388.213,0.42683533,0.050568687,63,64,127,2
806,,0,5,2.529411765,18005.43964,0.44980392,0.040203067,50,51,101,2
961,,6,4,2.190529042,27061.18463,0.20460434,0.208702048,173,174,347,2
965,,6,5,2.374398816,8290.916036,0.3938291,0.087133501,79,80,159,2
2030,,6,4,2.37254902,8065.128614,0.3125,0.05830789,79,80,159,2
2131,,0,5,2.247872734,9472.279448,0.573741,0.252863657,138,140,278,2
2155,,2,5,2.344802072,8767.280917,0.2949608,0.093389252,94,95,189,2
2199,,0,5,2.591564928,848.5475101,0.8205706,0.034854182,36,36,72,2
2242,,0,5,2.498335183,2519.463298,0.4853061,0.047473227,48,50,98,2
2289,,0,5,2.538290788,5338.33461,0.6533101,0.038076921,41,42,83,2
2301,,0,5,2.49981502,4654.152676,0.47469386,0.040939227,49,50,99,2
2328,,0,5,2.563078061,2348.725254,0.7134615,0.036259045,39,40,79,2
2507,,6,5,2.321864595,7032.913108,0.2771677,0.111874339,93,94,187,2
2514,,0,5,2.525712172,2514.814733,0.63067555,0.045333083,41,43,84,2
2560,,8,5,2.334813171,25044.47356,0.32217047,0.079532789,101,102,203,2
2650,,6,5,2.343322235,9819.428246,0.25196043,0.096088068,103,104,207,2
2671,,0,5,2.21790603,17904.89448,0.48141074,0.253855175,152,154,306,2
300081,,6,5,2.411394747,5634.913839,0.41635612,0.051027029,67,70,137,2
300096,,6,5,2.36699963,8963.097064,0.29609296,0.07251256,88,89,177,2
300208,,6,5,2.352201258,4852.046518,0.45522153,0.07521284,79,80,159,2
300217,,0,5,2.437291898,6927.155868,0.3295673,0.05603489,63,65,128,2
600048,,4,4,2.169811321,16137.51014,0.49528024,0.750794148,225,226,451,2
600212,,2,5,2.430262671,7510.854725,0.4494824,0.052347866,69,70,139,2
600289,,4,4,2.21790603,12716.81496,0.67282766,0.70213154,185,186,371,2
600303,,0,5,2.597114317,0,0.9705882,0.033930617,33,34,67,2
600359,,2,4,2.35109138,11395.92204,0.27510867,0.084075465,93,94,187,2
600495,,4,5,2.462449131,5501.809107,0.4177193,0.113514693,75,76,151,2
600597,,4,4,2.196078431,23152.86674,0.35476574,0.331814606,160,162,322,2
600790,,8,5,2.334443211,11891.62503,0.41444445,0.09609721,99,99,198,2
601126,,0,5,2.396596374,5516.983798,0.2824154,0.116096565,83,84,167,2
601808,,3,5,2.358120607,8220.645795,0.31796944,0.158688401,105,106,211,2
520,,3,6,3.291157973,6.750174769,0.33333334,6.33E-04,2,3,5,2
600016,,3,5,2.522752497,5132.898753,0.48846152,0.111914633,65,64,129,2
554,,5,5,2.462079171,2087.235138,0.73653847,0.072977602,63,65,128,2
600028,,4,5,2.549759526,7163.121092,0.32174167,0.141093835,58,57,115,2
600688,,0,4,2.10099889,32904.97781,0.3077638,0.571632704,266,267,533,2
7,,0,5,2.32963374,4761.558331,0.88409704,0.214815401,105,106,211,2
600030,,4,4,2.211616722,21283.73788,0.3931438,0.902395448,300,211,511,2
11,,0,5,2.346281909,5413.304606,0.9528247,0.212924553,101,102,203,2
40,,0,5,2.341842397,6794.365382,0.917289,0.213169957,103,104,207,2
66,,0,5,2.226415094,11102.68731,0.5322581,0.265280721,155,156,311,2
89,,0,5,2.291157973,8609.645529,0.6631262,0.235788688,123,124,247,2
155,,0,5,2.273769885,8337.105389,0.58452183,0.238019912,134,135,269,2
503,,0,5,2.196448391,18814.24735,0.4158452,0.264857231,165,165,330,2
534,,0,5,2.284498705,18891.89222,0.63139766,0.223659885,127,128,255,2
548,,0,5,2.31890492,6629.932434,0.809009,0.220067732,110,111,221,2
551,,0,5,2.347021828,408.1276935,0.97148514,0.212878857,100,101,201,2
587,,0,4,2.204587495,11487.58422,0.48584628,0.274392562,163,165,328,2
703,,0,5,2.278579356,12032.00019,0.5851195,0.235075054,133,134,267,2
709,,0,5,2.263780984,9702.123833,0.57592595,0.25637231,134,136,270,2
752,,0,5,2.295597484,9862.104381,0.7110098,0.222965853,118,119,237,2
786,,0,5,2.244173141,10495.93139,0.48905018,0.29208273,153,154,307,2
897,,0,5,2.293377728,10339.52407,0.71150833,0.226380939,118,119,237,2
939,,0,4,2.184979652,25993.07798,0.37814337,0.297610975,184,185,369,2
953,,0,5,2.305586385,5368.397824,0.77053255,0.219249581,113,114,227,2
970,,0,4,2.184239734,15875.16209,0.39708525,0.312106773,176,177,353,2
982,,0,5,2.270440252,9380.063117,0.63305855,0.232620074,127,127,254,2
2019,,0,5,2.246762856,14445.5494,0.48798296,0.240416775,148,149,297,2
2021,,0,5,2.345172031,258.9904385,0.9559309,0.217718416,101,102,203,2
2066,,0,4,2.233444321,13096.0069,0.52059054,0.245683192,143,144,287,2
2221,,0,5,2.349241583,5413,0.97148514,0.212758971,100,101,201,2
2259,,0,5,2.339622642,8243.607445,0.9007326,0.213823671,104,105,209,2
2260,,0,4,2.155382908,31384.65448,0.34365934,0.357702448,216,217,433,2
2294,,0,5,2.267850536,6461.760764,0.547923,0.253051135,140,141,281,2
2320,,0,5,2.286718461,7488.333912,0.68132746,0.226836333,122,123,245,2
2341,,0,4,2.210506844,19555.17732,0.4577044,0.273358434,158,160,318,2
2342,,0,5,2.330373659,3719.585868,0.8838275,0.214458259,104,106,210,2
2345,,0,5,2.300776915,9410.349249,0.7118644,0.219288399,118,119,237,2
2383,,0,4,2.196078431,21371.32555,0.39874882,0.28003874,171,172,343,2
2422,,0,5,2.349611543,0,0.9911111,0.212686953,99,100,199,2
2487,,0,4,2.184239734,26274.27661,0.37478667,0.307184717,187,187,374,2
2503,,0,5,2.286348502,15554.92599,0.6751966,0.222717014,121,123,244,2
2554,,0,5,2.343692194,4971.912915,0.9528247,0.212940068,101,102,203,2
2556,,0,4,2.193118757,23545.91112,0.38337252,0.276450868,184,185,369,2
2574,,0,4,2.201627821,14671.43757,0.46812484,0.27085143,166,169,335,2
300199,,0,5,2.299297077,3121.939682,0.7765875,0.229124855,113,114,227,2
300237,,0,5,2.245652978,17371.62711,0.49501103,0.256872182,148,151,299,2
300297,,0,4,2.227155013,7805.03331,0.551269,0.262335266,152,154,306,2
600005,,4,4,2.075841657,31187.32141,0.382321,0.898647001,306,307,613,2
600037,,4,4,2.051054384,28427.01031,0.36161408,1,335,335,670,2
600056,,0,4,2.108768036,54665.46014,0.3192771,0.501312032,248,250,498,2
600060,,0,5,2.260081391,10724.92726,0.57973856,0.240972838,135,136,271,2
600067,,4,4,2.126156123,12999.38323,0.50145525,0.860850736,256,256,512,2
600076,,0,5,2.283758787,15228.58412,0.56331325,0.233391237,137,138,275,2
600079,,0,4,2.20754717,9317.605855,0.4475356,0.306423612,165,166,331,2
600085,,0,4,2.128375879,27446.69784,0.28086582,0.439952313,252,254,506,2
600101,,0,5,2.22863485,11844.56891,0.5067906,0.255556991,153,154,307,2
600107,,0,5,2.315945246,1857.580404,0.91710234,0.214286931,103,104,207,2
600150,,0,4,2.125416204,25734.3682,0.3209433,0.462011875,237,237,474,2
600177,,4,4,2.144654088,13671.75989,0.52786666,0.851332119,248,244,492,2
600208,,0,5,2.240103589,15944.1444,0.4676598,0.262121371,153,152,305,2
600227,,0,5,2.345172031,457.4790244,0.953213,0.213766817,101,102,203,2
600280,,0,5,2.285238624,8085.911884,0.6790408,0.221956647,121,122,243,2
600322,,0,5,2.338512764,995.923633,0.9534071,0.214099617,101,102,203,2
600353,,0,5,2.24491306,12858.47438,0.5082774,0.241546514,149,150,299,2
600362,,0,4,2.17018128,29979.33198,0.34244967,0.30335449,191,194,385,2
600372,,7,4,2.189049205,14015.3736,0.43026003,0.334277475,188,189,377,2
600382,,0,5,2.267480577,14203.64622,0.5542685,0.24623524,136,137,273,2
600400,,0,5,2.273769885,10847.38506,0.5926944,0.230565308,133,134,267,2
600401,,0,4,2.13836478,36764.7301,0.2810729,0.337302779,220,222,442,2
600489,,0,4,2.246022937,9806.960397,0.5512665,0.255002996,140,141,281,2
600518,,0,4,2.153903071,18169.75348,0.35047606,0.37532116,206,207,413,2
600557,,0,4,2.194968553,10245.55754,0.4222426,0.297693521,171,172,343,2
600588,,0,5,2.341102479,2681.086187,0.91766244,0.213800685,103,104,207,2
600596,,0,5,2.268590455,10130.57439,0.6311773,0.239644561,128,129,257,2
600636,,0,5,2.305956345,4336.04022,0.8221018,0.219302834,108,110,218,2
600664,,0,5,2.29781724,9465.472297,0.6988981,0.233561023,120,120,240,2
600673,,0,5,2.349611543,0,0.9911111,0.212686953,99,100,199,2
600674,,4,4,2.146873844,10199.31356,0.53623694,0.850707453,246,246,492,2
600712,,0,5,2.301516833,5615.72263,0.75881004,0.226837578,114,115,229,2
600728,,0,5,2.262671106,19281.77423,0.604815,0.225921045,130,131,261,2
600729,,0,4,2.110247873,23624.57,0.32119098,0.577027183,259,260,519,2
600739,,0,5,2.326674066,3124.503106,0.8397044,0.217390667,108,108,216,2
600740,,0,5,2.299297077,14067.4366,0.6632258,0.225951595,124,125,249,2
600766,,0,5,2.333703293,5610.216534,0.86757183,0.213847324,106,107,213,2
600768,,0,5,2.31372549,8057.26936,0.83664626,0.215408611,108,109,217,2
600782,,0,5,2.228264891,12146.02753,0.5094586,0.253789538,146,147,293,2
600822,,0,5,2.22345542,23581.02972,0.4451477,0.252351293,158,159,317,2
600831,,0,5,2.316685165,14417.4572,0.8054215,0.229261073,111,112,223,2
600894,,0,4,2.181650018,4644.241519,0.5365301,0.4545177,179,180,359,2
600971,,0,5,2.302626711,4318.960054,0.7081267,0.222306923,120,121,241,2
601007,,0,5,2.256011839,8430.117856,0.5824765,0.235993614,134,135,269,2
601011,,0,5,2.275249723,7042.018163,0.6090099,0.253884311,132,132,264,2
601101,,4,4,2.120606733,28646.97891,0.46350425,0.860234975,267,267,534,2
601318,,0,5,2.250832408,9957.65633,0.5288314,0.274278965,144,145,289,2
601699,,0,5,2.237143914,10860.62576,0.477973,0.256615099,153,154,307,2
601988,,4,4,2.098039216,20276.57354,0.39397565,0.905438959,300,301,601,2
603077,,0,5,2.261931188,8599.059081,0.57646453,0.247762994,138,140,278,2
949,,6,5,2.655937847,2753.196225,0.3409091,0.02255963,32,33,65,2
600109,,4,4,2.277099519,7042.576092,0.78131163,0.688530958,169,168,337,2
600170,,8,5,2.785793563,733.8178016,0.43333334,0.02718777,16,15,31,2
2036,,2,5,2.480947096,9936.596951,0.38229376,0.04014875,69,71,140,2
2103,,4,5,3.022567518,0,0.85,0.005002218,4,5,9,2
2142,,4,5,2.985941546,112.5687852,0.375,0.007253393,7,8,15,2
300451,,4,5,2.992230855,61.31719317,0.56666666,0.005266993,5,6,11,2
600000,,4,4,2.200147984,18912.14984,0.6050864,0.713606585,197,198,395,2
2626,,8,4,2.39881613,4560.353227,0.5190151,0.072638962,86,85,171,2
750,,8,5,2.463189049,8730.558792,0.59546167,0.067942237,71,72,143,2
600252,,5,5,2.345172031,13343.30934,0.38118812,0.094307054,101,101,202,2
2298,,2,5,2.37217906,5538.690715,0.40715373,0.07397437,72,73,145,2
600115,,4,5,2.392526822,5264.644112,0.32250956,0.127376789,82,83,165,2
600270,,4,4,2.128005919,21042.58306,0.435083,0.852280582,266,263,529,2
601111,,4,5,2.578986312,3291.754197,0.5109351,0.09514387,51,51,102,2
300095,,2,5,2.756196818,2251.182449,0.72987974,0.017904281,46,47,93,2
600320,,4,5,2.662597114,2358.324603,0.4246824,0.102056114,58,57,115,2
601377,,4,5,2.904550499,166.5000422,0.25454545,0.009331278,9,11,20,2
600530,,6,5,2.508324084,3372.737309,0.4245283,0.047555609,52,52,104,2
2431,,6,6,3.730029586,0,0,0,0,1,1,2
600533,,6,5,2.731039586,4228.27642,0.43589744,0.021913135,27,26,53,2
600611,,4,4,2.279319275,12169.20709,0.77267665,0.687078811,170,165,335,2
600676,,2,5,2.498335183,7229.943431,0.17225717,0.061502286,53,54,107,2
603885,,2,5,2.969663337,78.81773134,0.3888889,0.00347745,8,9,17,2
600578,,4,5,2.775064743,1118.545528,0.2,0.030948146,20,20,40,2
600642,,4,4,2.144654088,10895.06142,0.4581749,0.872552421,264,264,528,2
600829,,6,5,2.30854606,11634.96757,0.22613893,0.071265667,98,99,197,2
600741,,4,4,2.146873844,14434.264,0.4551084,0.854641894,260,258,518,2
601579,,5,5,2.990381058,1212.622245,0.2,0.003147245,10,11,21,2
600633,,2,5,2.426563078,3930.784805,0.43420523,0.059585164,69,71,140,2
600835,,4,4,2.233074362,20461.05162,0.33041742,0.38489171,181,179,360,2
509,,3,5,2.636699963,4738.108621,0.82861,0.04467618,38,39,77,2
600837,,3,5,2.485756567,5861.917421,0.3367216,0.168865021,105,70,175,2
559,,3,5,2.389567148,10274.80417,0.35140562,0.103391916,83,84,167,2
979,,3,5,2.526082131,5986.814644,0.3997669,0.057465664,65,66,131,2
2084,,3,5,2.32445431,10972.58691,0.25667998,0.094726113,97,98,195,2
2101,,6,5,2.294857566,11381.63064,0.29785392,0.114642598,107,108,215,2
2224,,3,5,2.644099149,5449.774039,0.87339973,0.043858901,36,38,74,2
2481,,3,5,2.554199038,1638.549484,0.63089734,0.048496511,46,47,93,2
2496,,3,5,2.508324084,6254.152492,0.43315184,0.050945775,57,58,115,2
300026,,3,5,2.644099149,114.4121713,0.9219219,0.044237611,36,37,73,2
300110,,3,4,2.328893822,10968.31233,0.2598359,0.10370313,96,98,194,2
300212,,3,5,2.487236404,2437.108495,0.51282054,0.060480049,51,52,103,2
600004,,3,5,2.43063263,6612.585191,0.38044035,0.083361021,62,63,125,2
600139,,3,5,2.437291898,10173.26529,0.4639839,0.086782658,70,71,141,2
600238,,2,5,2.438031817,4237.683537,0.42370892,0.059944075,71,72,143,2
600273,,3,5,2.638919719,1155.819352,0.82861,0.044318352,38,39,77,2
600435,,4,4,2.135035146,16781.44317,0.46602783,0.791456842,247,248,495,2
600503,,3,5,2.559748428,5789.447721,0.540724,0.053456689,51,52,103,2
600565,,3,5,2.506104329,2223.514727,0.50449497,0.082503426,61,62,123,2
600643,,4,4,2.138734739,14003.44242,0.49446172,0.844680263,248,249,497,2
600680,,3,5,2.403625601,10227.5969,0.33170092,0.097052869,91,92,183,2
600794,,3,5,2.601923788,3040.012796,0.6921373,0.045672794,42,42,84,2
600841,,3,5,2.506104329,10249.92419,0.3419104,0.066940311,73,74,147,2
603015,,3,5,2.525342212,18546.5549,0.44009352,0.06203861,58,59,117,2
603199,,5,5,2.418054014,16520.62828,0.37983194,0.06940295,84,85,169,2
603558,,3,5,2.63854976,2766.052089,0.75365853,0.044654249,40,41,81,2
603718,,3,5,2.615242323,885.6949383,0.8038462,0.049964517,39,40,79,2
404,,2,5,2.688124306,756.9176806,0.6325397,0.018752516,35,36,71,2
600839,,7,4,2.138734739,29322.80265,0.29276398,0.429821791,238,237,475,2
521,,4,5,2.580096189,4334.642896,0.26525974,0.058388844,55,53,108,2
600900,,4,4,2.282648909,2815.908266,0.86230344,0.680945268,160,158,318,2
600021,,4,4,2.224195339,12740.22547,0.66468287,0.703261994,187,187,374,2
600098,,6,5,2.514983352,2118.244421,0.35925925,0.100595974,54,55,109,2
601939,,4,4,2.247132815,4920.158201,0.6801684,0.716093783,188,188,376,2
2126,,6,5,2.467628561,3767.293489,0.38789684,0.077030579,63,64,127,2
2572,,6,4,2.304476508,10283.35509,0.2647975,0.125531664,107,108,215,2
300066,,6,5,2.578246393,2398.533263,0.27474746,0.02818221,44,45,89,2
300138,,6,5,2.535701073,8663.445163,0.324026,0.033115389,55,56,111,2
300196,,6,5,2.365149834,5789.360561,0.3420886,0.074958345,79,80,159,2
300278,,2,5,2.68109508,1014.645065,0.43650794,0.016010784,27,28,55,2
600008,,4,4,2.157232704,20620.84997,0.49499834,0.830115346,244,245,489,2
600123,,2,5,2.518312986,4041.675845,0.28638223,0.051309597,58,59,117,2
600156,,2,5,2.756936737,4013.211277,0.35930735,0.012976847,21,21,42,2
600439,,6,5,2.706992231,3998.815865,0.3227513,0.016667148,27,28,55,2
600756,,7,5,2.76063633,684.3671081,0.4853801,0.012885609,18,19,37,2
600999,,5,5,2.859415464,2832.305725,0.50737727,0.102134899,82,26,108,2
426,,5,5,2.46281909,5279.929394,0.6486542,0.079025933,69,70,139,2
672,,5,5,2.431372549,7016.062021,0.57929826,0.077095353,75,76,151,2
702,,5,5,2.520162782,766.7652106,0.8857393,0.067027215,58,59,117,2
791,,7,5,2.373658898,8905.208422,0.44203296,0.102306159,104,105,209,2
863,,5,5,2.339252682,9620.585592,0.41414472,0.090507783,95,95,190,2
887,,5,5,2.516463189,1706.731974,0.8330601,0.069401557,60,61,121,2
906,,5,5,2.315205327,12997.67301,0.33030304,0.109049266,110,111,221,2
936,,5,5,2.483536811,7627.523774,0.7362981,0.074107244,64,65,129,2
973,,5,5,2.459489456,4549.286564,0.6528133,0.071278078,68,69,137,2
990,,5,5,2.449130596,8811.53054,0.64658386,0.077082801,69,70,139,2
2022,,5,4,2.290048095,11883.93456,0.28973916,0.143584579,127,128,255,2
2113,,7,5,2.281539031,14258.72051,0.32118738,0.131275373,135,136,271,2
2187,,5,5,2.355160932,17212.51198,0.38778958,0.09532476,111,112,223,2
2205,,5,4,2.417684055,23611.31877,0.4341693,0.074199084,86,88,174,2
2210,,5,5,2.350721421,6975.59348,0.46600878,0.091670543,95,96,191,2
2214,,7,5,2.300776915,6929.463578,0.44025055,0.181938748,135,136,271,2
2245,,5,5,2.425823159,9748.292907,0.54733425,0.074887922,76,77,153,2
2386,,5,5,2.375508694,11925.90662,0.38552406,0.086576896,96,97,193,2
2388,,5,4,2.435442101,7401.213152,0.55280703,0.078248945,75,76,151,2
2453,,5,5,2.502404735,1306.919536,0.78238606,0.076126358,62,63,125,2
2471,,5,5,2.44136145,2611.501993,0.6119956,0.077863634,72,73,145,2
2566,,5,5,2.406955235,2827.551322,0.5544753,0.080965108,79,81,160,2
2575,,5,5,2.537550869,0,0.98214287,0.066273729,55,56,111,2
2581,,5,5,2.506104329,5248.540221,0.711655,0.068487334,65,66,131,2
2627,,5,4,2.246392897,17199.01237,0.26346755,0.137415745,147,148,295,2
2687,,5,5,2.502404735,3882.301387,0.78315413,0.068620346,62,63,125,2
2692,,5,5,2.437661857,2245.080809,0.66217303,0.07689125,70,71,141,2
2697,,5,5,2.413614502,4232.563086,0.5759241,0.089903828,77,78,155,2
300135,,5,5,2.495375509,2343.721166,0.73870194,0.069539166,64,65,129,2
300152,,5,5,2.413614502,4750.486067,0.49825218,0.105413092,89,90,179,2
300214,,5,5,2.450610433,1487.326024,0.6997016,0.074866762,68,69,137,2
300325,,5,5,2.421383648,3353.472662,0.57297295,0.075594347,74,75,149,2
600094,,5,5,2.536440991,3634.940867,0.9476817,0.066350791,56,57,113,2
600180,,5,5,2.386607473,5940.843995,0.4590512,0.090225049,89,90,179,2
600379,,5,5,2.425823159,3595.977759,0.5613437,0.086478229,77,79,156,2
600438,,4,4,2.068072512,44501.26431,0.31829706,0.823364615,311,312,623,2
600462,,5,5,2.443951165,3469.534189,0.6448692,0.07371164,70,71,141,2
600467,,5,5,2.39881613,10383.17014,0.46498263,0.089879411,86,87,173,2
600527,,5,5,2.509803922,3544.796614,0.7636409,0.072779995,63,64,127,2
600736,,5,5,2.38290788,9847.802737,0.4225084,0.087437233,94,95,189,2
600770,,5,4,2.331853496,9353.423243,0.35258332,0.099232504,106,107,213,2
600785,,5,5,2.537550869,0,0.98214287,0.066273729,55,56,111,2
600787,,5,4,2.21790603,15201.73545,0.41474056,0.337392779,159,160,319,2
