Stkcd,Accper,Typrep,B002000000
69,9/30/2015,A,2860959313
69,6/30/2015,A,1600185608
69,3/31/2015,A,551501425.2
70,9/30/2015,A,67998084.49
70,6/30/2015,A,46843324.86
70,3/31/2015,A,16569832.27
78,9/30/2015,A,393221796.3
78,6/30/2015,A,86056667.08
78,3/31/2015,A,44790277.68
88,9/30/2015,A,447592430.9
88,6/30/2015,A,167121536.8
88,3/31/2015,A,80248615.61
89,9/30/2015,A,344074325.2
89,6/30/2015,A,221357468
89,3/31/2015,A,94274237.99
90,9/30/2015,A,258020502.6
90,6/30/2015,A,220766506.3
90,3/31/2015,A,47204809.58
96,9/30/2015,A,212332124.9
96,6/30/2015,A,188211671.9
96,3/31/2015,A,139143540.5
99,9/30/2015,A,146586147.1
99,6/30/2015,A,84311545.96
99,3/31/2015,A,36352527.6
100,9/30/2015,A,2610068747
100,6/30/2015,A,2088953000
100,3/31/2015,A,982205588
150,9/30/2015,A,2159159.92
150,6/30/2015,A,2116070.99
150,3/31/2015,A,3767221.83
151,9/30/2015,A,85373808.88
151,6/30/2015,A,70409102.21
151,3/31/2015,A,23803346.34
153,9/30/2015,A,32122862.96
153,6/30/2015,A,18557644.33
153,3/31/2015,A,5944207.82
155,9/30/2015,A,-181204615.2
155,6/30/2015,A,-119912178.2
155,3/31/2015,A,-55018762.76
156,9/30/2015,A,402078417.8
156,6/30/2015,A,249797683.5
156,3/31/2015,A,130693898.3
157,9/30/2015,A,-541611480.8
157,6/30/2015,A,-334876720.9
157,3/31/2015,A,-389848997.6
158,9/30/2015,A,-72717256.55
158,6/30/2015,A,-33606368.35
158,3/31/2015,A,-40673304.29
159,9/30/2015,A,-37522155.51
159,6/30/2015,A,54438351.62
159,3/31/2015,A,-8953722.61
166,9/30/2015,A,8635315729
166,6/30/2015,A,7515473579
166,3/31/2015,A,2616856926
301,9/30/2015,A,136606055.3
301,6/30/2015,A,90047026.39
301,3/31/2015,A,36735420.8
333,9/30/2015,A,11828503940
333,6/30/2015,A,8948567620
