Stkcd,Accper,Typrep,A003100000,A003000000
37,3/31/2015,A,1182173912.94 ,1268881221.39 
38,9/30/2015,A,110941254.79 ,148316323.51 
38,6/30/2015,A,108935814.20 ,145964143.50 
38,3/31/2015,A,109281120.46 ,146160904.38 
39,9/30/2015,A,25748014000.00 ,31087296000.00 
39,6/30/2015,A,25096672000.00 ,30230870000.00 
39,3/31/2015,A,22838384000.00 ,27865373000.00 
40,9/30/2015,A,1291347319.96 ,1291100934.62 
40,6/30/2015,A,1287562859.72 ,1287326413.05 
40,3/31/2015,A,1276284057.15 ,1276062598.96 
42,9/30/2015,A,3740887584.83 ,3741963504.83 
42,6/30/2015,A,3646668978.39 ,3647744898.39 
42,3/31/2015,A,3761125380.18 ,3762201300.18 
43,9/30/2015,A,3268008936.95 ,4032244875.78 
43,6/30/2015,A,3326924136.74 ,4096286649.17 
43,3/31/2015,A,3437980543.79 ,4218113611.43 
45,9/30/2015,A,2170300268.68 ,2170300268.68 
45,6/30/2015,A,2174548815.04 ,2174548815.04 
45,3/31/2015,A,2183521543.53 ,2183521543.53 
46,9/30/2015,A,10138307180.70 ,13480997906.94 
46,6/30/2015,A,9948125658.64 ,13383119841.50 
46,3/31/2015,A,9581403390.02 ,12933147191.21 
48,9/30/2015,A,677158232.85 ,767574547.50 
48,6/30/2015,A,662121967.70 ,759667495.86 
48,3/31/2015,A,523463172.05 ,618779659.33 
49,9/30/2015,A,873621622.88 ,1117021708.64 
49,6/30/2015,A,816261527.06 ,1035658114.45 
49,3/31/2015,A,801295029.00 ,999808063.20 
50,9/30/2015,A,8386525766.06 ,8795277089.85 
50,6/30/2015,A,8282109079.00 ,8696534977.00 
50,3/31/2015,A,8275289872.15 ,8685175474.36 
55,9/30/2015,A,1283779156.07 ,1338092994.59 
55,6/30/2015,A,1262312157.68 ,1320759388.25 
55,3/31/2015,A,1251625675.66 ,1315646779.51 
56,9/30/2015,A,4986926394.47 ,4986926394.47 
56,6/30/2015,A,1909660753.05 ,2934190362.41 
56,3/31/2015,A,1907363063.65 ,2935092053.92 
58,9/30/2015,A,1443184484.40 ,1639013082.70 
58,6/30/2015,A,1435903974.96 ,1636914202.28 
58,3/31/2015,A,1320384119.37 ,1524518996.02 
59,9/30/2015,A,8623698325.75 ,9196503166.38 
59,6/30/2015,A,8790083345.02 ,9352150656.40 
59,3/31/2015,A,8436992899.15 ,8499403277.23 
60,9/30/2015,A,7302154923.56 ,7825915822.39 
60,6/30/2015,A,7367883180.55 ,7891299298.64 
60,3/31/2015,A,7285674806.51 ,7786232238.01 
61,9/30/2015,A,4855047091.59 ,6172835700.91 
61,6/30/2015,A,4849068496.51 ,6153171004.46 
61,3/31/2015,A,4884087616.61 ,6142277098.03 
62,9/30/2015,A,2463997104.92 ,2533917783.92 
62,6/30/2015,A,2540657147.05 ,2610300756.77 
62,3/31/2015,A,2410262998.75 ,2473761360.43 
63,9/30/2015,A,34355191000.00 ,36031293000.00 
63,6/30/2015,A,34325473000.00 ,36155673000.00 
63,3/31/2015,A,33044398000.00 ,34604958000.00 
65,9/30/2015,A,1834033371.17 ,2037701871.20 
65,6/30/2015,A,1790574508.55 ,1992198013.40 
65,3/31/2015,A,981716374.13 ,1204747748.25 
66,9/30/2015,A,2491105507.05 ,8209018154.73 
66,6/30/2015,A,2480059147.16 ,8227452635.27 
66,3/31/2015,A,2501929946.76 ,8339132309.37 
68,9/30/2015,A,585670349.34 ,624443444.02 
68,6/30/2015,A,585533586.95 ,609972908.33 
68,3/31/2015,A,598746417.14 ,624323912.07 
69,9/30/2015,A,29978924073.93 ,33895030092.97 
69,6/30/2015,A,28946268700.06 ,32817379825.73 
69,3/31/2015,A,28632703114.46 ,32793157166.50 
70,9/30/2015,A,1114601247.98 ,1319953206.50 
70,6/30/2015,A,1099709972.67 ,1301248446.87 
70,3/31/2015,A,1082167972.43 ,1278020954.28 
78,9/30/2015,A,1829978665.27 ,2170979514.31 
78,6/30/2015,A,1673324540.98 ,2062179486.40 
78,3/31/2015,A,1466665343.71 ,1841841423.95 
88,9/30/2015,A,5397295749.30 ,5972785471.08 
88,6/30/2015,A,5182108526.74 ,5703981526.99 
88,3/31/2015,A,5201666882.89 ,5621436005.77 
89,9/30/2015,A,10041760327.35 ,10068102339.39 
89,6/30/2015,A,9921249893.27 ,9945311354.41 
89,3/31/2015,A,7995637538.13 ,8017248260.80 
90,9/30/2015,A,4017717305.80 ,4069606942.09 
90,6/30/2015,A,3980485379.43 ,3990508088.53 
90,3/31/2015,A,3907401840.62 ,3917415771.48 
96,9/30/2015,A,2061512867.83 ,2081885844.88 
96,6/30/2015,A,2037583764.27 ,2057104906.35 
96,3/31/2015,A,1999385446.39 ,2020259276.76 
99,9/30/2015,A,2792369727.66 ,2824300343.19 
99,6/30/2015,A,2730863791.92 ,2762025742.07 
99,3/31/2015,A,2729484357.44 ,2759522005.18 
100,9/30/2015,A,24053142380.00 ,35838552442.00 
100,6/30/2015,A,24491628000.00 ,35515732000.00 
100,3/31/2015,A,23524501823.00 ,32611161205.00 
150,9/30/2015,A,1637628339.15 ,1638870535.17 
150,6/30/2015,A,1637842892.23 ,1638827446.23 
150,3/31/2015,A,1692621515.94 ,1695982147.66 
151,9/30/2015,A,959850069.63 ,966534421.76 
151,6/30/2015,A,944006219.10 ,950826276.16 
151,3/31/2015,A,1017302307.81 ,1024172039.00 
153,9/30/2015,A,1145683440.75 ,1179968667.81 
153,6/30/2015,A,1144343196.01 ,1178741865.74 
153,3/31/2015,A,1118773784.99 ,1153223805.83 
155,9/30/2015,A,-1020851196.58 ,-1094638493.62 
155,6/30/2015,A,-932535510.75 ,-1000263488.74 
155,3/31/2015,A,-875324867.80 ,-936927961.22 
156,9/30/2015,A,9107560416.32 ,9115734053.92 
156,6/30/2015,A,8954733364.53 ,8963453319.61 
156,3/31/2015,A,2328529696.38 ,2337750734.39 
157,9/30/2015,A,39461495382.20 ,40314551494.28 
157,6/30/2015,A,40133241785.05 ,40999825492.66 
157,3/31/2015,A,40363440679.80 ,41252594412.71 
158,9/30/2015,A,5106847151.60 ,5110388845.13 
158,6/30/2015,A,4613290193.28 ,4617332985.51 
158,3/31/2015,A,2431701147.95 ,2432124092.78 
159,9/30/2015,A,2090133536.86 ,2108049276.06 
159,6/30/2015,A,2171419899.11 ,2189374790.13 
159,3/31/2015,A,2140758698.43 ,2170597893.67 
166,9/30/2015,A,46439496203.95 ,48005468673.82 
166,6/30/2015,A,46190454232.08 ,47649946425.51 
166,3/31/2015,A,41180186393.57 ,42614146033.32 
301,9/30/2015,A,3199570442.97 ,3203596727.72 
301,6/30/2015,A,3213956745.61 ,3217949521.01 
301,3/31/2015,A,3160666313.29 ,3164637915.42 
333,9/30/2015,A,47681320040.00 ,54070631490.00 
333,6/30/2015,A,46154741470.00 ,52449425410.00 
333,3/31/2015,A,42939219430.00 ,49378735060.00 
338,9/30/2015,A,31436599056.51 ,41169525244.27 
338,6/30/2015,A,31942217622.21 ,41534942750.55 
338,3/31/2015,A,31589396566.86 ,39451525180.41 
400,9/30/2015,A,5734631734.99 ,6300032318.23 
400,6/30/2015,A,5745730269.37 ,6328376576.76 
400,3/31/2015,A,5680048814.31 ,6246861962.92 
401,9/30/2015,A,11117270464.86 ,12528081996.39 
401,6/30/2015,A,12408543164.95 ,13873387980.75 
401,3/31/2015,A,11194018088.55 ,12707304357.13 
402,9/30/2015,A,24245582562.39 ,27756981356.63 
402,6/30/2015,A,24315230911.58 ,28390982880.84 
402,3/31/2015,A,25018032590.69 ,29068049791.81 
403,9/30/2015,A,490609878.75 ,520352994.35 
403,6/30/2015,A,476377787.09 ,508192820.61 
403,3/31/2015,A,436696696.73 ,480321426.40 
404,9/30/2015,A,2203654523.03 ,2910615228.59 
404,6/30/2015,A,2143373967.51 ,2823347348.66 
404,3/31/2015,A,2093495432.83 ,2763330119.09 
407,9/30/2015,A,1787607247.51 ,2078063593.69 
407,6/30/2015,A,1782442607.66 ,2074387796.57 
407,3/31/2015,A,1772827157.15 ,2039817792.57 
408,9/30/2015,A,129115413.29 ,132555630.25 
408,6/30/2015,A,131445258.29 ,134767255.13 
408,3/31/2015,A,136187607.64 ,137912814.19 
409,9/30/2015,A,1049103583.29 ,1386831474.18 
409,6/30/2015,A,984880115.67 ,1223197865.05 
409,3/31/2015,A,1005846155.21 ,1242764881.80 
410,9/30/2015,A,2226847258.62 ,2279074846.36 
410,6/30/2015,A,2427356198.77 ,2481040538.24 
410,3/31/2015,A,2568900392.13 ,2603081429.76 
411,9/30/2015,A,658623980.77 ,1471565454.04 
411,6/30/2015,A,644284683.45 ,1441913499.64 
411,3/31/2015,A,628085906.33 ,1407909644.47 
413,9/30/2015,A,6965156857.08 ,7245932276.22 
413,6/30/2015,A,6607166806.17 ,6873070078.08 
413,3/31/2015,A,6388440660.89 ,6604831099.22 
415,9/30/2015,A,10958036000.00 ,15955737000.00 
415,6/30/2015,A,10288535000.00 ,13255843000.00 
415,3/31/2015,A,10024852000.00 ,13062552000.00 
416,9/30/2015,A,830181657.02 ,845356108.98 
416,6/30/2015,A,872929765.20 ,887712928.72 
416,3/31/2015,A,859830727.53 ,873891548.35 
417,9/30/2015,A,3331206562.74 ,3815607504.21 
417,6/30/2015,A,3290375997.45 ,3763600341.13 
417,3/31/2015,A,3362562977.46 ,3835254566.77 
418,9/30/2015,A,4846345765.01 ,5677000830.05 
418,6/30/2015,A,4580881426.28 ,5365874542.75 
418,3/31/2015,A,4672579250.04 ,5424310013.98 
419,9/30/2015,A,1836777131.93 ,1962675032.61 
419,6/30/2015,A,1878760431.37 ,2001707506.71 
419,3/31/2015,A,1832985980.12 ,1952643633.17 
420,9/30/2015,A,996220131.53 ,998444865.34 
420,6/30/2015,A,993300122.61 ,995887511.20 
420,3/31/2015,A,948306204.37 ,971486921.99 
421,9/30/2015,A,2152054055.59 ,3246310311.20 
421,6/30/2015,A,2172809309.44 ,3197088833.25 
421,3/31/2015,A,2192683083.76 ,3230257834.75 
422,9/30/2015,A,6741089883.44 ,8174169810.72 
422,6/30/2015,A,6737481285.39 ,8175508935.15 
422,3/31/2015,A,6137595034.29 ,7565368598.87 
423,9/30/2015,A,6514250516.84 ,6609655285.51 
423,6/30/2015,A,6696167542.48 ,6789209651.01 
423,3/31/2015,A,6448547669.34 ,6555998858.60 
425,9/30/2015,A,21248935293.02 ,21517682603.72 
425,6/30/2015,A,21224335807.74 ,21505662577.46 
425,3/31/2015,A,20805069819.11 ,21097177452.06 
426,9/30/2015,A,2754360915.73 ,2756735476.46 
