Stkcd,Accper,Typrep,A003100000,A003000000
2343,3/31/2015,A,1212128068.99 ,1411924104.38 
2344,9/30/2015,A,5066644303.30 ,5199207843.14 
2344,6/30/2015,A,4955841610.91 ,5198891652.46 
2344,3/31/2015,A,4744039225.19 ,4979101726.43 
2345,9/30/2015,A,2495438113.05 ,2522263968.64 
2345,6/30/2015,A,2460337349.53 ,2486904629.59 
2345,3/31/2015,A,2488701776.16 ,2511054587.69 
2346,9/30/2015,A,1528682344.53 ,1528682344.53 
2346,6/30/2015,A,1530197045.28 ,1530197045.28 
2346,3/31/2015,A,1453718514.87 ,1453718514.87 
2347,9/30/2015,A,1210616573.71 ,1211435930.20 
2347,6/30/2015,A,1207468965.65 ,1208274621.54 
2347,3/31/2015,A,1208285837.71 ,1209090643.42 
2348,9/30/2015,A,1206579766.43 ,1206579766.43 
2348,6/30/2015,A,1188426965.45 ,1188426965.45 
2348,3/31/2015,A,1196873774.83 ,1196873774.83 
2349,9/30/2015,A,1474540483.10 ,1631937626.96 
2349,6/30/2015,A,1388568023.99 ,1544245304.57 
2349,3/31/2015,A,1395647321.29 ,1550079087.02 
2350,9/30/2015,A,1052106757.67 ,1099589821.05 
2350,6/30/2015,A,1058827883.30 ,1106649199.36 
2350,3/31/2015,A,1080758707.06 ,1129448798.72 
2351,9/30/2015,A,1688753354.22 ,1699281103.71 
2351,6/30/2015,A,1663952521.77 ,1674572498.73 
2351,3/31/2015,A,1695347358.78 ,1706714251.92 
2352,9/30/2015,A,703815238.48 ,703815238.48 
2352,6/30/2015,A,731758044.02 ,731758044.02 
2352,3/31/2015,A,724203252.05 ,724203252.05 
2353,9/30/2015,A,7776968714.66 ,8021113368.79 
2353,6/30/2015,A,7777176608.48 ,8024813159.26 
2353,3/31/2015,A,7914883062.26 ,8169680512.71 
2354,9/30/2015,A,881125282.58 ,878126876.58 
2354,6/30/2015,A,780841098.17 ,778930200.70 
2354,3/31/2015,A,734729398.07 ,733868850.33 
2355,9/30/2015,A,1970341903.63 ,1991393279.00 
2355,6/30/2015,A,1964215274.34 ,1985254097.61 
2355,3/31/2015,A,1962294595.99 ,1983311113.59 
2356,9/30/2015,A,1507510904.01 ,1542725297.42 
2356,6/30/2015,A,1504051908.38 ,1540157191.89 
2356,3/31/2015,A,1446317404.10 ,1481106850.91 
2357,9/30/2015,A,840009759.90 ,892445258.08 
2357,6/30/2015,A,805895976.66 ,826111824.76 
2357,3/31/2015,A,773653758.45 ,795263411.42 
2358,9/30/2015,A,2198170820.64 ,2231906138.89 
2358,6/30/2015,A,2085709528.99 ,2120075417.71 
2358,3/31/2015,A,2112230539.60 ,2147217451.39 
2359,9/30/2015,A,932006950.10 ,931918457.12 
2359,6/30/2015,A,930557280.43 ,930494396.75 
2359,3/31/2015,A,918456995.80 ,918419429.84 
2360,9/30/2015,A,970012173.67 ,1066347927.54 
2360,6/30/2015,A,939357396.73 ,1036332858.72 
2360,3/31/2015,A,940597435.56 ,1031108185.42 
2361,9/30/2015,A,1263166754.14 ,1264318636.23 
2361,6/30/2015,A,1233216956.12 ,1234319566.78 
2361,3/31/2015,A,1200866981.50 ,1200866981.50 
2362,9/30/2015,A,733413353.86 ,740533774.66 
2362,6/30/2015,A,735231978.88 ,742501547.29 
2362,3/31/2015,A,732584663.57 ,739739286.86 
2363,9/30/2015,A,1343957578.55 ,1424391864.79 
2363,6/30/2015,A,1330049490.81 ,1410607993.90 
2363,3/31/2015,A,1331203297.71 ,1412881818.07 
2364,9/30/2015,A,1106605633.43 ,1132625335.07 
2364,6/30/2015,A,1051726581.73 ,1067540236.50 
2364,3/31/2015,A,987325197.73 ,989215892.61 
2365,9/30/2015,A,1115447947.30 ,1119751439.98 
2365,6/30/2015,A,1109182461.56 ,1113439770.96 
2365,3/31/2015,A,1113602578.87 ,1118092212.02 
2366,9/30/2015,A,1320556134.92 ,1393163767.22 
2366,6/30/2015,A,744637426.34 ,744637426.34 
2366,3/31/2015,A,740505603.69 ,740505603.69 
2367,9/30/2015,A,2181405984.95 ,2208196418.27 
2367,6/30/2015,A,2048411763.68 ,2074724756.62 
2367,3/31/2015,A,2106934730.93 ,2133338426.15 
2368,9/30/2015,A,2041745222.79 ,2065597726.82 
2368,6/30/2015,A,1997374807.62 ,2021872070.65 
2368,3/31/2015,A,2054400125.34 ,2079424702.02 
2369,9/30/2015,A,1366271763.63 ,1366073361.12 
2369,6/30/2015,A,1370201709.04 ,1369535657.14 
2369,3/31/2015,A,1372068595.65 ,1372068595.65 
2370,9/30/2015,A,770432048.74 ,770432048.74 
2370,6/30/2015,A,760996372.65 ,760996372.65 
2370,3/31/2015,A,763193172.05 ,763193172.05 
2371,9/30/2015,A,1870260297.03 ,2012406823.10 
2371,6/30/2015,A,1850911112.74 ,1984333072.97 
2371,3/31/2015,A,1832957338.39 ,1971113320.02 
2372,9/30/2015,A,2238455697.09 ,2238455697.09 
2372,6/30/2015,A,2099331134.01 ,2099331134.01 
2372,3/31/2015,A,2234180566.65 ,2234180566.65 
2373,9/30/2015,A,1121053504.12 ,1229723170.26 
2373,6/30/2015,A,1015291533.71 ,1116305987.62 
2373,3/31/2015,A,1002059774.50 ,1107071385.12 
2374,9/30/2015,A,1936063358.74 ,1964612512.87 
2374,6/30/2015,A,1917370640.58 ,1945387927.72 
2374,3/31/2015,A,1881273907.60 ,1909032622.37 
2375,9/30/2015,A,6950950311.67 ,7253790449.95 
2375,6/30/2015,A,6841280135.24 ,7141948299.06 
2375,3/31/2015,A,6665498221.41 ,6967889906.40 
2376,9/30/2015,A,1871207397.23 ,2041563907.92 
2376,6/30/2015,A,1823351313.28 ,1978521574.39 
2376,3/31/2015,A,1844098699.26 ,2029419726.53 
2377,9/30/2015,A,758138717.06 ,896713617.21 
2377,6/30/2015,A,755135878.71 ,894859436.09 
2377,3/31/2015,A,740566424.81 ,878249385.16 
2378,9/30/2015,A,1985286963.68 ,1985286963.68 
2378,6/30/2015,A,2037055177.78 ,2037055177.78 
2378,3/31/2015,A,2056004891.07 ,2056004891.07 
2379,9/30/2015,A,1317690798.13 ,1317690798.13 
2379,6/30/2015,A,1245935752.39 ,1245935752.39 
2379,3/31/2015,A,1272271301.68 ,1272271301.68 
2380,9/30/2015,A,968670256.63 ,974766562.49 
2380,6/30/2015,A,954138840.91 ,959930097.66 
2380,3/31/2015,A,932448705.95 ,939520750.45 
2381,9/30/2015,A,1176758481.50 ,1208131777.74 
2381,6/30/2015,A,1142304365.74 ,1173901119.29 
2381,3/31/2015,A,1183470050.54 ,1215440208.88 
2382,9/30/2015,A,1146111831.13 ,1147654817.44 
2382,6/30/2015,A,1083042690.77 ,1085005333.92 
2382,3/31/2015,A,1087287278.88 ,1090157272.84 
2383,9/30/2015,A,1737130660.59 ,1781214157.99 
2383,6/30/2015,A,1729382301.82 ,1771361751.88 
2383,3/31/2015,A,1413139547.09 ,1451016808.19 
2384,9/30/2015,A,2707826362.46 ,2735504211.20 
2384,6/30/2015,A,2707409321.36 ,2727331527.31 
2384,3/31/2015,A,1512445149.32 ,1521567289.65 
2385,9/30/2015,A,6111215273.13 ,6713609729.48 
2385,6/30/2015,A,5925626717.49 ,6459736343.84 
2385,3/31/2015,A,5988075312.96 ,6444114110.46 
2386,9/30/2015,A,3874599702.60 ,4238482330.19 
2386,6/30/2015,A,3910855728.10 ,4282740228.82 
2386,3/31/2015,A,3936362668.81 ,4316950931.57 
2387,9/30/2015,A,1209632346.70 ,1209632346.70 
2387,6/30/2015,A,1293847853.64 ,1293847853.64 
2387,3/31/2015,A,1353443342.65 ,1353443342.65 
2388,9/30/2015,A,568328527.68 ,579895971.29 
2388,6/30/2015,A,564274010.55 ,575650993.41 
2388,3/31/2015,A,565281203.12 ,576535511.21 
2389,9/30/2015,A,3306980038.36 ,3363404806.80 
2389,6/30/2015,A,2156991131.40 ,2209537174.21 
2389,3/31/2015,A,2144167600.16 ,2193779652.72 
2390,9/30/2015,A,2498474246.18 ,2633620173.42 
2390,6/30/2015,A,2448902856.21 ,2582905028.91 
2390,3/31/2015,A,2429968579.01 ,2492054533.50 
2391,9/30/2015,A,2854101342.70 ,2869369548.90 
2391,6/30/2015,A,2798701507.02 ,2814345970.26 
2391,3/31/2015,A,2563374379.65 ,2579295271.85 
2392,9/30/2015,A,3045794132.52 ,3048593797.20 
2392,6/30/2015,A,2998844456.29 ,3001487656.25 
2392,3/31/2015,A,2981736136.32 ,2984241141.52 
2393,9/30/2015,A,2972405796.93 ,2972470242.69 
2393,6/30/2015,A,2959771137.06 ,2959829559.29 
2393,3/31/2015,A,2956772467.58 ,2956830074.09 
2394,9/30/2015,A,2532891223.06 ,2580811571.38 
2394,6/30/2015,A,2677502131.79 ,2780269584.60 
2394,3/31/2015,A,2659463064.91 ,2759928185.49 
2395,9/30/2015,A,798519009.54 ,880277916.96 
2395,6/30/2015,A,788310867.13 ,864900850.89 
2395,3/31/2015,A,791122687.74 ,866766775.96 
2396,9/30/2015,A,2471443950.08 ,3039939433.85 
2396,6/30/2015,A,2132082056.89 ,2514642679.75 
2396,3/31/2015,A,2135194794.47 ,2376155692.65 
2397,9/30/2015,A,1298147777.89 ,1296353040.63 
2397,6/30/2015,A,1287927707.19 ,1286132911.19 
2397,3/31/2015,A,1317576464.52 ,1315835339.91 
2398,9/30/2015,A,1956633740.55 ,1999744622.48 
2398,6/30/2015,A,1904572314.58 ,1946858230.42 
2398,3/31/2015,A,1869084131.70 ,1910441119.68 
2399,9/30/2015,A,8297079507.53 ,8374748685.36 
2399,6/30/2015,A,8387278098.28 ,8468334883.84 
2399,3/31/2015,A,8525608303.90 ,8608004077.37 
2400,9/30/2015,A,2370136290.08 ,2576818781.96 
2400,6/30/2015,A,2239059839.11 ,2442286443.33 
2400,3/31/2015,A,2176078898.76 ,2366543403.88 
2401,9/30/2015,A,702224859.80 ,708400593.15 
2401,6/30/2015,A,684859136.62 ,690321601.39 
2401,3/31/2015,A,685630539.56 ,690169722.52 
2402,9/30/2015,A,979864558.18 ,984757165.07 
2402,6/30/2015,A,956201662.59 ,959303221.58 
2402,3/31/2015,A,946943154.92 ,954143958.13 
2403,9/30/2015,A,1628071023.44 ,1628071023.44 
2403,6/30/2015,A,1659654802.16 ,1659654802.16 
2403,3/31/2015,A,1694491748.03 ,1694491748.03 
2404,9/30/2015,A,1259104989.75 ,1330786272.21 
2404,6/30/2015,A,1244300625.57 ,1313950597.05 
2404,3/31/2015,A,1264315891.94 ,1343076854.78 
2405,9/30/2015,A,2714082936.23 ,2922535505.71 
2405,6/30/2015,A,2491712672.19 ,2697297654.72 
2405,3/31/2015,A,2486003755.19 ,2692497860.06 
2406,9/30/2015,A,2168879781.53 ,2169219001.24 
2406,6/30/2015,A,2154538482.89 ,2154849537.44 
2406,3/31/2015,A,2175210145.92 ,2175495295.38 
2407,9/30/2015,A,1466658140.34 ,1699555342.01 
2407,6/30/2015,A,1439812918.23 ,1648411841.27 
2407,3/31/2015,A,1445193556.82 ,1660179950.50 
2408,9/30/2015,A,5527643272.03 ,5582221204.73 
2408,6/30/2015,A,4840557282.52 ,4892418862.03 
2408,3/31/2015,A,3731704603.59 ,3784823170.44 
2409,9/30/2015,A,1326894588.71 ,1326894588.71 
2409,6/30/2015,A,1295861984.57 ,1295861984.57 
2409,3/31/2015,A,1291257724.94 ,1291257724.94 
2410,9/30/2015,A,2633173960.94 ,2646300690.62 
2410,6/30/2015,A,2564430184.80 ,2576409328.57 
2410,3/31/2015,A,2852843438.07 ,2866094842.70 
2411,9/30/2015,A,823046784.16 ,862834811.43 
2411,6/30/2015,A,848072070.35 ,885320428.54 
2411,3/31/2015,A,861998281.13 ,894822981.60 
2412,9/30/2015,A,1188470402.84 ,1223634714.76 
2412,6/30/2015,A,1173517544.70 ,1208254684.48 
2412,3/31/2015,A,1148153380.26 ,1182305409.05 
2413,9/30/2015,A,2037947889.57 ,2037947889.57 
2413,6/30/2015,A,2016141427.65 ,2016141427.65 
2413,3/31/2015,A,1218218063.09 ,1218218063.09 
2414,9/30/2015,A,2463507506.57 ,2463507506.57 
2414,6/30/2015,A,2460367892.32 ,2460367892.32 
2414,3/31/2015,A,2426840425.98 ,2426840425.98 
2415,9/30/2015,A,17090683689.68 ,17136143429.71 
2415,6/30/2015,A,15495027678.76 ,15539405639.97 
2415,3/31/2015,A,15921133195.92 ,15956580864.36 
2416,9/30/2015,A,4440885237.69 ,4448217903.71 
2416,6/30/2015,A,4413154251.02 ,4423540801.92 
2416,3/31/2015,A,4386430491.69 ,4412290283.62 
2417,9/30/2015,A,434759927.76 ,435181310.50 
2417,6/30/2015,A,352011003.98 ,352512870.33 
2417,3/31/2015,A,372811471.64 ,373441068.46 
2418,9/30/2015,A,1894140373.31 ,1898650279.73 
2418,6/30/2015,A,2123121511.67 ,2127423833.74 
2418,3/31/2015,A,2109074749.84 ,2113713089.25 
2419,9/30/2015,A,4530750119.93 ,4528819935.48 
2419,6/30/2015,A,4513312357.05 ,4511669974.33 
2419,3/31/2015,A,4727988792.25 ,4726580693.65 
2420,9/30/2015,A,1616557198.87 ,1632475672.99 
2420,6/30/2015,A,1608501003.79 ,1624475298.04 
2420,3/31/2015,A,1603109829.24 ,1629538387.34 
2421,9/30/2015,A,1792250608.74 ,1925758377.18 
2421,6/30/2015,A,1734991911.36 ,1867697652.20 
2421,3/31/2015,A,1704969479.51 ,1863531908.47 
2422,9/30/2015,A,10918379803.00 ,11051170014.00 
2422,6/30/2015,A,11078818814.00 ,11242568699.00 
2422,3/31/2015,A,10936296449.00 ,11164835655.00 
2423,9/30/2015,A,1972686845.29 ,1972686845.29 
2423,6/30/2015,A,2012339259.23 ,2012339259.23 
2423,3/31/2015,A,2023785501.15 ,2023785501.15 
2424,9/30/2015,A,2459506433.99 ,2489260597.61 
2424,6/30/2015,A,2407419676.10 ,2435893197.90 
2424,3/31/2015,A,2416527192.03 ,2443403268.17 
2425,9/30/2015,A,1932182512.17 ,2087333050.76 
2425,6/30/2015,A,1914471380.07 ,2078137318.26 
2425,3/31/2015,A,1913106988.41 ,2077668513.02 
2426,9/30/2015,A,4955331746.86 ,5060005324.04 
2426,6/30/2015,A,3016014764.53 ,3113839019.75 
2426,3/31/2015,A,3034574107.15 ,3083440957.19 
2427,9/30/2015,A,2108798021.12 ,2150709898.96 
2427,6/30/2015,A,2078841064.36 ,2118716085.39 
2427,3/31/2015,A,1101200854.31 ,1139807890.59 
2428,9/30/2015,A,1602954454.49 ,1681582212.23 
2428,6/30/2015,A,1585046357.00 ,1662845859.00 
2428,3/31/2015,A,1577008919.86 ,1654457058.41 
2429,9/30/2015,A,4896281353.75 ,4904551913.78 
2429,6/30/2015,A,4713662676.43 ,4722712044.77 
2429,3/31/2015,A,4604982824.08 ,4604982824.08 
2430,9/30/2015,A,3633090803.60 ,4028892866.99 
2430,6/30/2015,A,3594473305.20 ,4003192495.39 
2430,3/31/2015,A,3577042759.63 ,3985282898.62 
2431,9/30/2015,A,4411323012.89 ,4530894355.79 
2431,6/30/2015,A,4472960772.13 ,4589680130.69 
2431,3/31/2015,A,4307850381.78 ,4420230188.47 
2432,9/30/2015,A,692407693.45 ,692407693.45 
2432,6/30/2015,A,712362439.56 ,712362439.56 
2432,3/31/2015,A,735747113.16 ,735747113.16 
2433,9/30/2015,A,3889889974.35 ,4027703430.24 
2433,6/30/2015,A,3793381980.27 ,3866945762.10 
2433,3/31/2015,A,3753323490.13 ,3825815183.61 
2434,9/30/2015,A,2270543081.02 ,2357395905.34 
2434,6/30/2015,A,2229318875.67 ,2315318123.24 
2434,3/31/2015,A,2226629678.20 ,2314804974.59 
2435,9/30/2015,A,875141806.39 ,875141806.39 
2435,6/30/2015,A,855045334.37 ,855045334.37 
2435,3/31/2015,A,862598505.43 ,862598505.43 
2436,9/30/2015,A,2166877864.08 ,2223286011.54 
2436,6/30/2015,A,2096000989.22 ,2146948182.66 
2436,3/31/2015,A,2116183025.12 ,2161722016.72 
2437,9/30/2015,A,3447109025.57 ,3685077844.24 
2437,6/30/2015,A,3271726888.84 ,3501422710.38 
2437,3/31/2015,A,3146484457.48 ,3360864604.06 
2438,9/30/2015,A,948347958.53 ,948347958.53 
2438,6/30/2015,A,944512705.31 ,944512705.31 
2438,3/31/2015,A,947841228.44 ,947841228.44 
2439,9/30/2015,A,1473556419.05 ,1589200108.55 
2439,6/30/2015,A,1492390249.59 ,1603504742.11 
2439,3/31/2015,A,1485593138.88 ,1603510152.55 
2440,9/30/2015,A,5969813735.86 ,6281018197.82 
2440,6/30/2015,A,5890112737.04 ,6256670804.38 
2440,3/31/2015,A,6046691810.81 ,6402345924.52 
2441,9/30/2015,A,2314654159.05 ,2361031887.75 
2441,6/30/2015,A,2275705121.52 ,2325856114.20 
2441,3/31/2015,A,2284875308.63 ,2330546985.64 
2442,9/30/2015,A,1105204488.93 ,1105204488.93 
2442,6/30/2015,A,1118511038.15 ,1118511038.15 
2442,3/31/2015,A,1128432976.14 ,1128432976.14 
2443,9/30/2015,A,1958878303.20 ,2089308658.03 
2443,6/30/2015,A,1935039390.95 ,2065571849.56 
2443,3/31/2015,A,1944747612.23 ,2076319185.87 
2444,9/30/2015,A,4066733036.82 ,4165076114.77 
2444,6/30/2015,A,3887394434.29 ,3946862377.93 
2444,3/31/2015,A,3985395327.71 ,4056573199.14 
2445,9/30/2015,A,1996906401.29 ,2008870405.19 
2445,6/30/2015,A,1975896685.78 ,1987916303.66 
2445,3/31/2015,A,1943070983.32 ,1955168367.63 
2446,9/30/2015,A,1318875685.98 ,1318875685.98 
2446,6/30/2015,A,1276864728.16 ,1276864728.16 
2446,3/31/2015,A,1253157441.92 ,1253694023.23 
2447,9/30/2015,A,2159014721.63 ,2159014721.63 
2447,6/30/2015,A,2145440795.37 ,2145440795.37 
2447,3/31/2015,A,2119623180.92 ,2119623180.92 
2448,9/30/2015,A,1989973337.26 ,2012531511.92 
2448,6/30/2015,A,1945163217.80 ,1972307466.13 
2448,3/31/2015,A,1943503588.95 ,1970459229.12 
2449,9/30/2015,A,2729342357.21 ,2917530316.89 
2449,6/30/2015,A,2690075823.47 ,2879198684.19 
2449,3/31/2015,A,2303809997.75 ,2460125204.52 
2450,9/30/2015,A,5888211342.46 ,5930638518.89 
2450,6/30/2015,A,5364230180.16 ,5407522907.27 
2450,3/31/2015,A,5107223335.41 ,5137469441.23 
2451,9/30/2015,A,684543674.70 ,706168339.97 
2451,6/30/2015,A,680091028.43 ,699129313.17 
2451,3/31/2015,A,668214354.74 ,685663266.47 
2452,9/30/2015,A,1202351094.95 ,1213865067.33 
2452,6/30/2015,A,1186354249.86 ,1194441162.28 
2452,3/31/2015,A,1191819939.56 ,1198908647.35 
2453,9/30/2015,A,1200061732.75 ,1291236390.62 
2453,6/30/2015,A,1201967055.90 ,1265960333.27 
2453,3/31/2015,A,1196671342.15 ,1250886989.88 
2454,9/30/2015,A,2389684678.70 ,2545527056.58 
2454,6/30/2015,A,2330052112.46 ,2495178504.71 
2454,3/31/2015,A,2390106826.05 ,2535306900.48 
2455,9/30/2015,A,790493822.31 ,790493822.31 
2455,6/30/2015,A,779862713.40 ,779862713.40 
2455,3/31/2015,A,819629179.62 ,819629179.62 
2456,9/30/2015,A,6074465297.33 ,6074465297.33 
2456,6/30/2015,A,5983003599.15 ,5983003599.15 
2456,3/31/2015,A,5901241966.37 ,5901241966.37 
2457,9/30/2015,A,1752756953.85 ,1769555824.25 
2457,6/30/2015,A,1744921698.88 ,1753918669.97 
2457,3/31/2015,A,1736112950.30 ,1746354086.81 
2458,9/30/2015,A,429463098.38 ,432028779.64 
2458,6/30/2015,A,515910175.73 ,518670263.84 
2458,3/31/2015,A,642558647.23 ,645335257.50 
2459,9/30/2015,A,1457137823.76 ,1450187944.38 
2459,6/30/2015,A,1498834693.26 ,1493102053.28 
2459,3/31/2015,A,1510194715.72 ,1505389191.70 
2460,9/30/2015,A,1806168646.94 ,1816171075.17 
2460,6/30/2015,A,1405497780.16 ,1406565832.14 
2460,3/31/2015,A,1412717894.21 ,1413875256.24 
2461,9/30/2015,A,3377738286.21 ,3414516322.69 
2461,6/30/2015,A,3341526743.56 ,3381721182.13 
2461,3/31/2015,A,3330916187.73 ,3368834769.75 
2462,9/30/2015,A,1390244940.28 ,2127575355.96 
2462,6/30/2015,A,1348107675.68 ,1822070332.88 
2462,3/31/2015,A,1325151999.96 ,1750201990.90 
2463,9/30/2015,A,3196355069.00 ,3196355069.00 
2463,6/30/2015,A,3181290926.00 ,3181290926.00 
2463,3/31/2015,A,3190971856.00 ,3190971856.00 
2464,9/30/2015,A,935965663.28 ,935965663.28 
2464,6/30/2015,A,633215017.16 ,633215017.16 
2464,3/31/2015,A,746906776.94 ,746906776.94 
2465,9/30/2015,A,6129618732.68 ,6556175585.82 
2465,6/30/2015,A,4911136100.64 ,5323636051.70 
2465,3/31/2015,A,4964972934.25 ,5374578942.98 
2466,9/30/2015,A,2898863553.43 ,3781188058.18 
2466,6/30/2015,A,2879157233.97 ,4405862160.47 
2466,3/31/2015,A,2869176725.24 ,4565839707.39 
2467,9/30/2015,A,1540582103.89 ,1540582103.89 
2467,6/30/2015,A,1411737935.43 ,1411737935.43 
2467,3/31/2015,A,1475214334.08 ,1475214334.08 
2468,9/30/2015,A,729131254.30 ,762196697.69 
2468,6/30/2015,A,729858341.65 ,763229092.18 
2468,3/31/2015,A,722149483.09 ,755535673.65 
2469,9/30/2015,A,1185651798.33 ,1235805753.68 
2469,6/30/2015,A,1134955644.47 ,1184303559.67 
2469,3/31/2015,A,1144713344.17 ,1191709888.58 
2470,9/30/2015,A,7949614170.60 ,8044062132.23 
2470,6/30/2015,A,7470763782.62 ,7564708824.34 
2470,3/31/2015,A,7243166836.26 ,7371464889.36 
2471,9/30/2015,A,1680564038.53 ,2311861487.49 
2471,6/30/2015,A,1670290206.99 ,2297428395.34 
2471,3/31/2015,A,1663256427.36 ,2249202156.73 
2472,9/30/2015,A,1628785709.43 ,1628785709.43 
2472,6/30/2015,A,1590917538.25 ,1590917538.25 
2472,3/31/2015,A,1580307696.67 ,1580307696.67 
2473,9/30/2015,A,375464019.00 ,379229127.26 
2473,6/30/2015,A,381604257.94 ,385676251.49 
2473,3/31/2015,A,386586418.21 ,390678026.56 
2474,9/30/2015,A,1373504939.55 ,1373499955.37 
2474,6/30/2015,A,1366172336.80 ,1366324348.04 
2474,3/31/2015,A,1364290187.59 ,1364661683.39 
2475,9/30/2015,A,5160641957.74 ,5496214998.76 
2475,6/30/2015,A,4903199552.44 ,5289421964.69 
2475,3/31/2015,A,4736441757.68 ,5106521809.22 
2476,9/30/2015,A,1019857402.99 ,1129341147.93 
2476,6/30/2015,A,1013356685.39 ,1132241807.13 
2476,3/31/2015,A,1023405890.44 ,1141854089.45 
2477,9/30/2015,A,4269644428.16 ,4532630254.10 
2477,6/30/2015,A,4168870274.38 ,4418040643.46 
2477,3/31/2015,A,2584397054.74 ,2793572848.62 
2478,9/30/2015,A,2918174574.31 ,3050186103.69 
2478,6/30/2015,A,2867490610.65 ,3070010387.45 
2478,3/31/2015,A,2902305068.40 ,3114675512.60 
2479,9/30/2015,A,2697869776.96 ,2991424725.13 
2479,6/30/2015,A,2187713034.18 ,2477906971.11 
2479,3/31/2015,A,2214184102.14 ,2508656354.15 
2480,9/30/2015,A,2390553680.83 ,2510596143.29 
2480,6/30/2015,A,2446277995.17 ,2570219043.03 
2480,3/31/2015,A,2430566260.02 ,2510330981.76 
2481,9/30/2015,A,2545278917.58 ,2545278917.58 
2481,6/30/2015,A,2501023999.53 ,2501023999.53 
2481,3/31/2015,A,2439007272.78 ,2439007272.78 
2482,9/30/2015,A,4500131714.69 ,4626611485.78 
2482,6/30/2015,A,4518591757.19 ,4639204311.46 
2482,3/31/2015,A,4255614370.45 ,4370335238.34 
2483,9/30/2015,A,2965602199.25 ,3265973422.77 
2483,6/30/2015,A,2340939201.42 ,2633638307.75 
2483,3/31/2015,A,2205530220.24 ,2498926528.33 
2484,9/30/2015,A,1645510801.36 ,1739631677.16 
2484,6/30/2015,A,1615763691.53 ,1708170435.12 
2484,3/31/2015,A,1600987793.52 ,1700479429.59 
2485,9/30/2015,A,1946121512.62 ,1946121512.62 
2485,6/30/2015,A,1951212880.07 ,1951212880.07 
2485,3/31/2015,A,1950732350.68 ,1950732350.68 
2486,9/30/2015,A,975493816.10 ,990165971.74 
2486,6/30/2015,A,987471622.12 ,1004303397.10 
2486,3/31/2015,A,1009745325.29 ,1031536207.05 
2487,9/30/2015,A,1616304155.23 ,1616304155.23 
2487,6/30/2015,A,1582524064.52 ,1582524064.52 
2487,3/31/2015,A,1560180723.04 ,1560180723.04 
2488,9/30/2015,A,1595069229.44 ,1633991200.84 
2488,6/30/2015,A,1576035800.80 ,1615456185.99 
2488,3/31/2015,A,1582627572.61 ,1622797187.72 
2489,9/30/2015,A,3145961373.68 ,3292195952.13 
2489,6/30/2015,A,3559892826.97 ,3561377180.79 
2489,3/31/2015,A,3589304780.91 ,3590803637.32 
2490,9/30/2015,A,2595301991.83 ,2708619180.85 
2490,6/30/2015,A,2622483212.48 ,2667141915.14 
2490,3/31/2015,A,2674737738.85 ,2729792610.13 
2491,9/30/2015,A,2705527359.83 ,2768179292.55 
2491,6/30/2015,A,2695206346.85 ,2750719255.77 
2491,3/31/2015,A,2186428854.49 ,2236014525.26 
2492,9/30/2015,A,1097010823.67 ,1119242001.97 
2492,6/30/2015,A,1105512518.38 ,1122027099.37 
2492,3/31/2015,A,895257381.86 ,900203257.55 
2493,9/30/2015,A,6525390345.95 ,8573372686.10 
2493,6/30/2015,A,6680703788.20 ,8812750424.16 
2493,3/31/2015,A,6572211724.53 ,8673550450.95 
2494,9/30/2015,A,1395725616.79 ,1411561406.06 
2494,6/30/2015,A,1400284253.84 ,1417970037.94 
2494,3/31/2015,A,1399987302.81 ,1418285473.79 
2495,9/30/2015,A,1088761451.56 ,1088761451.56 
2495,6/30/2015,A,1080091082.91 ,1080091082.91 
2495,3/31/2015,A,1061618585.20 ,1061618585.20 
2496,9/30/2015,A,3120838225.72 ,3586875188.55 
2496,6/30/2015,A,3087482764.97 ,3386326554.58 
2496,3/31/2015,A,3067489770.21 ,3377776990.75 
2497,9/30/2015,A,2173570388.25 ,2356709424.94 
2497,6/30/2015,A,2184585004.03 ,2379790303.12 
2497,3/31/2015,A,2179421450.33 ,2381892615.04 
2498,9/30/2015,A,4357996606.48 ,4357574098.90 
2498,6/30/2015,A,4291354010.35 ,4290931559.19 
2498,3/31/2015,A,4258190551.79 ,4257768109.53 
2499,9/30/2015,A,697465575.71 ,745302247.14 
2499,6/30/2015,A,696829208.98 ,744804433.97 
2499,3/31/2015,A,677111204.75 ,725286191.89 
2500,9/30/2015,A,8367110374.00 ,8967833247.00 
2500,6/30/2015,A,8437477719.00 ,9004735043.00 
2500,3/31/2015,A,7808271528.00 ,8348158223.00 
2501,9/30/2015,A,3718178554.57 ,3718178554.57 
2501,6/30/2015,A,3603509191.53 ,3603509191.53 
2501,3/31/2015,A,3526339406.29 ,3526339406.29 
2502,9/30/2015,A,1747078257.65 ,1756413204.82 
2502,6/30/2015,A,1733491187.95 ,1742008254.07 
2502,3/31/2015,A,1729830674.08 ,1736656864.32 
2503,9/30/2015,A,2262007367.26 ,2264947359.42 
2503,6/30/2015,A,2223155377.42 ,2223705112.91 
2503,3/31/2015,A,2218737342.01 ,2219430774.48 
2504,9/30/2015,A,860229855.63 ,860229855.63 
2504,6/30/2015,A,753484743.85 ,753484743.85 
2504,3/31/2015,A,727451957.46 ,727451957.46 
2505,9/30/2015,A,5775677569.17 ,5813817815.45 
2505,6/30/2015,A,5776128013.73 ,5813736699.93 
2505,3/31/2015,A,5781451582.18 ,5818114535.84 
