Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
600495,,1,6,2.263138416,1.151224801,0.99715483,0.097759829,122,122,244,3
603288,,2,6,1.851221318,320.3897102,0.94937044,0.577725593,697,697,1394,3
603328,,2,5,1.609178386,7304.601382,0.7846108,0.99658033,1200,1200,2400,3
2681,,1,7,3.400444115,0,0,1.67E-05,1,1,2,3
622,,1,6,2.413027387,407.8746982,0.42153847,0.007182289,26,26,52,3
600800,,1,6,2.549222798,901.0068198,0.4181818,0.002213069,11,11,22,3
2668,,2,6,2.612509252,0,0,1.00E-03,1,1,2,3
2599,,1,6,2.383049593,291.5117172,0.54545456,0.008131046,33,33,66,3
600297,,1,6,2.526276832,0.255263158,0.975,0.011925438,16,16,32,3
300358,,2,5,1.722057735,8240.160192,0.9627954,0.850840644,941,941,1882,3
972,,1,6,2.51369356,160.1012485,0.51666665,0.002603011,16,16,32,3
600721,,1,6,2.544781643,21.68822998,0.5555556,0.004997651,10,10,20,3
10,,2,6,1.847150259,4716.809044,0.94831544,0.57708351,695,695,1390,3
2691,,2,5,1.727609178,2969.299635,0.99024254,0.852206645,929,929,1858,3
600231,,2,6,1.857142857,1921.311782,0.98920125,0.576598873,680,680,1360,3
600782,,2,6,1.83826795,10225.38543,0.9310791,0.583009535,706,706,1412,3
300053,,1,6,2.238341969,1887.975442,0.55929947,0.043234062,103,103,206,3
300398,,2,5,1.727609178,2948.538534,0.983193,0.850602264,931,931,1862,3
300427,,1,6,2.426720947,101.9282289,0.5095238,0.004691277,21,21,42,3
2495,,2,6,2.522945966,0,1,0.005854937,16,16,32,3
600202,,1,6,2.356402665,1321.875564,0.33306122,0.013513806,50,50,100,3
600303,,2,6,1.852331606,2443.942075,0.97254795,0.576782666,686,686,1372,3
300261,,2,5,1.712435233,10574.32105,0.9254769,0.852100515,961,961,1922,3
300336,,1,6,2.403034789,390.0818571,0.46206897,0.007296139,30,30,60,3
300331,,2,5,1.718726869,7457.198963,0.9480755,0.85171677,949,949,1898,3
2447,,1,6,2.46669134,160.4589572,0.5285714,0.004257939,21,21,42,3
2327,,1,6,2.22649889,945.5069813,0.61031437,0.08030425,118,118,236,3
2347,,1,6,2.336787565,519.2604794,0.533765,0.010521863,47,47,94,3
2642,,2,5,1.722057735,9885.365168,0.9609249,0.850907286,942,942,1884,3
300148,,1,6,2.540340489,15.30862255,0.85375494,0.005606369,23,23,46,3
300332,,1,6,2.420429312,917.0127625,0.3773585,0.011348895,53,53,106,3
300363,,2,5,1.722427831,4977.97772,0.9629672,0.850896295,941,941,1882,3
300367,,1,6,2.352331606,591.8872693,0.39202657,0.008406676,43,43,86,3
600143,,2,5,1.621391562,1052.088287,0.82110137,0.993648739,1170,1170,2340,3
2249,,2,5,1.72353812,6440.036381,0.9723869,0.855136567,940,940,1880,3
2370,,5,1,1,0,0,1.01E-05,1,1,2,3
300348,,5,1,1,0,0,1.01E-05,1,1,2,3
5,,1,6,2.576239822,0,1,0.005743979,9,9,18,3
2087,,2,5,1.730199852,2701.481278,0.99783784,0.850398316,924,924,1848,3
2689,,2,6,2.729089563,0,1,0.001700394,2,2,4,3
600355,,1,7,3.559215396,0,0,1.12E-05,1,1,2,3
2446,,1,7,2.85196151,0,1,5.94E-04,2,2,4,3
2669,,2,7,2.85788305,0,1,5.94E-04,2,2,4,3
300311,,2,5,1.729829756,1924.648141,0.9978355,0.850400398,924,924,1848,3
600593,,1,6,2.368245744,1034.497461,0.4022109,0.018717004,49,49,98,3
510,,1,7,3.315321984,3.363614711,0.6666667,7.25E-05,4,4,8,3
2091,,1,6,2.461139896,2527.78727,0.7908497,0.006020264,18,18,36,3
517,,2,7,2.859733531,0,0,5.83E-04,1,1,2,3
712,,2,5,1.620651369,3180.991888,0.8221053,0.993391144,1169,1169,2338,3
600493,,1,6,2.572908956,0,1,0.001113056,4,4,8,3
600691,,0,6,2.61472983,0,0,9.97E-04,1,1,2,3
300076,,1,6,2.464840859,19.81969141,0.88235295,0.006390254,17,17,34,3
601689,,2,6,2.726868986,0,0,8.51E-04,1,1,2,3
953,,1,7,2.806439674,27.49532225,0.33333334,6.29E-04,3,3,6,3
2638,,1,6,2.716136195,55.56967141,0.33333334,8.73E-04,3,3,6,3
300329,,2,5,1.717246484,10725.92811,0.9537087,0.851559442,946,946,1892,3
300215,,1,7,3.206513694,0,0,4.82E-05,1,1,2,3
300422,,1,7,2.767579571,9.87152123,0.16666667,6.60E-04,4,4,8,3
600095,,2,6,1.859733531,606.7053351,0.991316,0.574919322,678,678,1356,3
600582,,1,6,2.403404885,325.7368678,0.37471265,0.007265501,30,30,60,3
600998,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
692,,1,6,2.586972613,17.27315332,0.5,0.001646189,5,5,10,3
