Source,Target,Sort,Time
593,27,1,2013/12/31
601,27,1,2013/12/31
600137,27,1,2013/12/31
18,45,1,2013/12/31
600217,401,1,2013/12/31
600881,401,1,2013/12/31
2454,421,1,2013/12/31
728,543,1,2013/12/31
530,686,1,2013/12/31
300152,686,1,2013/12/31
300265,686,1,2013/12/31
600658,725,1,2013/12/31
600183,728,1,2013/12/31
600183,728,1,2013/12/31
7,783,1,2013/12/31
158,783,1,2013/12/31
615,783,1,2013/12/31
668,783,1,2013/12/31
766,783,1,2013/12/31
767,783,1,2013/12/31
2183,783,1,2013/12/31
2220,783,1,2013/12/31
300041,783,1,2013/12/31
300158,783,1,2013/12/31
600243,783,1,2013/12/31
45,600030,1,2013/12/31
925,600030,1,2013/12/31
2252,600030,1,2013/12/31
2316,600030,1,2013/12/31
2321,600030,1,2013/12/31
2433,600030,1,2013/12/31
2443,600030,1,2013/12/31
2630,600030,1,2013/12/31
2702,600030,1,2013/12/31
300052,600030,1,2013/12/31
300205,600030,1,2013/12/31
300352,600030,1,2013/12/31
600222,600030,1,2013/12/31
600435,600030,1,2013/12/31
600461,600030,1,2013/12/31
600526,600030,1,2013/12/31
600712,600030,1,2013/12/31
600739,600030,1,2013/12/31
601169,600030,1,2013/12/31
601800,600030,1,2013/12/31
601919,600030,1,2013/12/31
601989,600030,1,2013/12/31
35,600036,1,2013/12/31
783,600068,1,2013/12/31
923,600166,1,2013/12/31
600218,600166,1,2013/12/31
601377,600530,1,2013/12/31
600629,600610,1,2013/12/31
421,600611,1,2013/12/31
600530,600611,1,2013/12/31
600676,600611,1,2013/12/31
600578,600642,1,2013/12/31
600578,600642,1,2013/12/31
600843,600689,1,2013/12/31
776,600739,1,2013/12/31
783,600754,1,2013/12/31
2005,600837,1,2013/12/31
2055,600837,1,2013/12/31
2321,600837,1,2013/12/31
2486,600837,1,2013/12/31
300032,600837,1,2013/12/31
300038,600837,1,2013/12/31
300262,600837,1,2013/12/31
600815,600841,1,2013/12/31
600689,600843,1,2013/12/31
686,600881,1,2013/12/31
883,600900,1,2013/12/31
600021,600900,1,2013/12/31
600098,600900,1,2013/12/31
601179,600900,1,2013/12/31
601939,600900,1,2013/12/31
200152,601111,1,2013/12/31
612,601600,1,2013/12/31
600068,601939,1,2013/12/31
601600,601939,1,2013/12/31
949,2007,2,2013/12/31
2425,600521,2,2013/12/31
300148,600521,2,2013/12/31
300261,600521,2,2013/12/31
600199,600521,2,2013/12/31
300266,600820,2,2013/12/31
2193,886,2,2013/12/31
300340,886,2,2013/12/31
777,2167,2,2013/12/31
959,2222,2,2013/12/31
2713,2222,2,2013/12/31
600477,2222,2,2013/12/31
2522,693,2,2013/12/31
600580,600173,2,2013/12/31
600218,2015,2,2013/12/31
600470,2015,2,2013/12/31
